concrete(kg/m³),Fly Ash (kg/m³),Silica Fume (kg/m³),Coarse Aggregate (kg/m³),Fine Aggregate (kg/m³),Water (kg/m³),Water Reducer (kg/m³),Fiber Diameter (mm),Fiber Length (mm),Fiber Content (%),Compressive Strength (MPa)
400,30,0,1221,688,112,8,0.02,12,0,61
400,30,0,1221,688,112,8,0.02,12,0.05,61.5
400,30,0,1221,688,112,8,0.02,12,0.1,65.8
400,30,0,1221,688,112,8,0.02,12,0.15,67.5
390,0,0,642.25,1193.66,175,0,0.02,12,0,47.8
390,0,0,642.25,1193.66,175,0,0.02,12,0.075,44.1
390,0,0,642.25,1193.66,175,0,0.02,12,0.15,47.4
390,0,0,642.25,1193.66,175,0,0.02,12,0.225,50.1
450,0,0,1150,670,207,0,0.02,30,0,50.17
450,0,0,1150,670,207,0,0.02,30,0.05,50.87
450,0,0,1150,670,207,0,0.02,30,0.1,52.65
450,0,0,1150,670,207,0,0.02,30,0.15,50.42
450,0,0,1150,670,207,0,0.02,30,0.2,48.32
450,0,0,1150,670,207,0,0.02,30,0.25,47.56
450,0,0,1150,670,207,0,0.02,30,0.3,46.31
420,0,0,1188.6,684.6,160,4.2,0.015,18,0,48.1
420,0,0,1188.6,684.6,160,4.2,0.015,18,0.05,49.3
420,0,0,1188.6,684.6,160,4.2,0.015,18,0.1,46.2
420,0,0,1188.6,684.6,160,4.2,0.015,18,0.15,48.6
420,0,0,1188.6,684.6,160,4.2,0.015,18,0.1,51.6
378,42,0,1188.6,684.6,160,4.2,0.015,18,0.1,52.2
336,84,0,1188.6,684.6,160,4.2,0.015,18,0.1,50.3
294,126,0,1188.6,684.6,160,4.2,0.015,18,0.1,44.1
252,168,0,1188.6,684.6,160,4.2,0.015,18,0.1,37.2
300,100,0,1184,672,144,3,0.015,18,0,59.3
300,100,0,1184,672,144,3,0.015,18,0.1,60.3
300,100,0,1184,672,144,3,0.015,18,0.2,59.9
300,100,0,1184,672,144,3,0.015,18,0.3,51.6
217,54,0,1288,693,125,2.71,0.0174,6,0,29.9
217,54,0,1286,692,125,2.71,0.0174,6,0.1,31.4
217,54,0,1284,691.5,125,2.71,0.0174,6,0.2,33.4
217,54,0,1282,690.6,125,2.71,0.0174,6,0.3,37.2
217,54,0,1280,689.6,125,2.71,0.0174,6,0.4,35.9
217,54,0,1278,688.7,125,2.71,0.0174,6,0.5,33.9
217,54,0,1286,692,125,2.71,0.0174,12,0.1,30.5
217,54,0,1284,691.5,125,2.71,0.0174,12,0.2,32.4
217,54,0,1282,690.6,125,2.71,0.0174,12,0.3,33.5
217,54,0,1280,689.6,125,2.71,0.0174,12,0.4,26.8
217,54,0,1278,688.7,125,2.71,0.0174,12,0.5,25.5
400,0,0,512,762,220,0,0.015,18,0,36.3
400,0,0,512,762,220,0,0.015,18,0.05,39.2
400,0,0,512,762,220,2,0.015,18,0.1,40.4
400,0,0,512,762,220,2,0.015,18,0.15,41.4
400,0,0,512,762,220,4,0.015,18,0.2,41.9
400,0,0,512,762,220,4,0.015,18,0.25,39.4
340,0,0,1540,610,153,2.9,0.016,22,0,47.6
340,0,0,1540,610,153,2.9,0.016,22,0.06,49.4
340,0,0,1540,610,153,2.9,0.016,22,0.08,50.8
340,0,0,1540,610,153,2.9,0.016,22,0.1,52.4
340,0,0,1540,610,153,2.9,0.016,22,0.12,53.9
380,0,0,1312.92,562.68,144.4,3.8,0.018,17,0,62.04
380,0,0,1312.92,562.68,144.4,3.8,0.018,17,0.1,57.86
380,0,0,1312.92,562.68,144.4,3.8,0.018,17,0.2,57.86
380,0,0,1312.92,562.68,144.4,3.8,0.018,17,0.3,58.9
380,0,0,1312.92,562.68,144.4,3.8,0.018,17,0.4,60.52
380,0,0,1265.07,595.33,159.6,3.8,0.018,17,0,57
380,0,0,1265.07,595.33,159.6,3.8,0.018,17,0.1,57.29
380,0,0,1265.07,595.33,159.6,3.8,0.018,17,0.2,55.13
380,0,0,1265.07,595.33,159.6,3.8,0.018,17,0.3,51.87
380,0,0,1265.07,595.33,159.6,3.8,0.018,17,0.4,42.75
420,0,0,1060,760,180,3,0.015,18,0,60
420,0,0,1060,760,180,3,0.015,18,0.02,62.7
420,0,0,1060,760,180,3,0.015,18,0.04,63.2
420,0,0,1060,760,180,3,0.015,18,0.06,64.9
420,0,0,1060,760,180,3,0.015,18,0.08,66.5
420,0,0,1060,760,180,3,0.015,18,0.1,58.5
308,0,0,1298,614,151,0,0.015,12,0,25.44
308,0,0,1298,614,151,0,0.015,12,0.05,26.8
308,0,0,1298,614,151,0,0.015,12,0.06,26.83
308,0,0,1298,614,151,0,0.015,12,0.08,26.86
350,80,0,1047,794,170,3,0.015,12,0,52.3
350,80,0,1047,794,170,3,0.015,12,0.1,53.5
350,80,0,1047,794,170,3,0.015,12,0.2,50.8
350,80,0,1047,794,170,3,0.015,12,0.3,50.3
350,80,0,1047,794,170,3,0.015,18,0,52.3
350,80,0,1047,794,170,3,0.015,18,0.1,55.7
350,80,0,1047,794,170,3,0.015,18,0.2,51.7
350,80,0,1047,794,170,3,0.015,18,0.3,45.5
350,80,0,1047,794,170,3,0.015,24,0,52.3
350,80,0,1047,794,170,3,0.015,24,0.1,53.8
350,80,0,1047,794,170,3,0.015,24,0.2,50.3
350,80,0,1047,794,170,3,0.015,24,0.3,48.9
340,0,0,987,875,180,5,0.015,12,0,37.2
340,0,0,987,875,180,5,0.015,18,0.05,34.3
340,0,0,987,875,180,5,0.015,12,0.1,36.8
340,0,0,987,875,180,5,0.015,18,0.1,37.1
340,0,0,987,875,180,5,0.015,24,0.1,40
340,0,0,987,875,180,5,0.015,18,0.12,36.7
340,0,0,987,875,180,5,0.015,18,0.15,36.7
300,75,0,1180,640,215,1.08,0.015,18,0,30.89
300,75,0,1180,640,215,1.08,0.015,18,0.36,28.45
300,75,0,1180,640,215,1.08,0.015,18,0.55,33.2
300,75,0,1180,640,215,1.08,0.015,18,0.73,29.38
300,75,0,1180,640,215,1.08,0.015,25,0,30.89
300,75,0,1180,640,215,1.08,0.015,25,0.36,27.6
300,75,0,1180,640,215,1.08,0.015,25,0.55,23.33
300,75,0,1180,640,215,1.08,0.015,25,0.73,23.91
478.4,0,0,1181.3,549.3,191,0,0.013,16,0.05,45.91
478.4,0,0,1181.3,549.3,191,0,0.017,20,0.05,44.76
478.4,0,0,1181.3,549.3,191,0,0.021,24,0.05,46.94
478.4,0,0,1181.3,549.3,191,0,0.017,16,0.06,40.8
478.4,0,0,1181.3,549.3,191,0,0.021,20,0.06,43.45
478.4,0,0,1181.3,549.3,191,0,0.013,24,0.06,39.67
478.4,0,0,1181.3,549.3,191,0,0.021,16,0.07,45.87
478.4,0,0,1181.3,549.3,191,0,0.013,20,0.07,45.07
478.4,0,0,1181.3,549.3,191,0,0.017,24,0.07,47.17
420,0,0,998,817,160,4.2,0.018,18,0,42
420,0,0,998,817,160,4.2,0.018,18,0.05,42.4
420,0,0,998,817,160,4.2,0.018,18,0.1,43.1
420,0,0,998,817,160,4.2,0.018,18,0.15,41.7
420,0,0,998,817,160,4.2,0.018,18,0.2,41.3
420,0,0,998,817,160,4.2,0.018,18,0.25,41.4
420,0,0,998,817,160,4.2,0.018,18,0.3,36.6
420,0,0,998,817,160,4.2,0.018,18,0.35,36
420,0,0,998,817,160,3.36,0.018,18,0.1,43.1
399,21,0,998,817,160,3.36,0.018,18,0.1,33.8
378,42,0,998,817,160,3.36,0.018,18,0.1,47.4
357,63,0,998,817,160,3.36,0.018,18,0.1,46
336,84,0,998,817,160,3.36,0.018,18,0.1,42.7
315,105,0,998,817,160,3.36,0.018,18,0.1,41
294,126,0,998,817,160,3.36,0.018,18,0.1,41.6
399,0,21,998,817,160,3.36,0.018,18,0.1,50.9
378,0,42,998,817,160,3.36,0.018,18,0.1,46.3
357,0,63,998,817,160,3.36,0.018,18,0.1,47.4
336,0,84,998,817,160,3.36,0.018,18,0.1,46.6
315,0,105,998,817,160,3.36,0.018,18,0.1,47
294,0,126,998,817,160,3.36,0.018,18,0.1,45.4
500,0,0,1125,613,180,4.2,0.015,12,0,61.4
500,0,0,1125,613,180,4.2,0.015,12,0.04,62.2
500,0,0,1125,613,180,4.2,0.015,12,0.08,62.9
500,0,0,1125,613,180,4.2,0.015,12,0.12,63.9
500,0,0,1125,613,180,4.2,0.015,12,0.16,63.3
500,0,0,1125,613,180,4.2,0.015,12,0.2,63.1
475,0,25,1125,613,180,4.2,0.015,12,0,64.5
465,0,35,1125,613,180,4.2,0.015,12,0,66.9
450,0,50,1125,613,180,4.2,0.015,12,0,68.2
440,0,60,1125,613,180,4.2,0.015,12,0,67.8
425,0,75,1125,613,180,4.2,0.015,12,0,67.1
475,0,25,1125,613,180,4.2,0.015,12,0.04,65.5
465,0,35,1125,613,180,4.2,0.015,12,0.04,66.4
450,0,50,1125,613,180,4.2,0.015,12,0.04,69.1
440,0,60,1125,613,180,4.2,0.015,12,0.04,68.3
425,0,75,1125,613,180,4.2,0.015,12,0.04,67.4
475,0,25,1125,613,180,4.2,0.015,12,0.08,65.9
465,0,35,1125,613,180,4.2,0.015,12,0.08,66.7
450,0,50,1125,613,180,4.2,0.015,12,0.08,69.5
440,0,60,1125,613,180,4.2,0.015,12,0.08,68.8
425,0,75,1125,613,180,4.2,0.015,12,0.08,68.1
475,0,25,1125,613,180,4.2,0.015,12,0.12,66.4
465,0,35,1125,613,180,4.2,0.015,12,0.12,67.2
450,0,50,1125,613,180,4.2,0.015,12,0.12,69.9
440,0,60,1125,613,180,4.2,0.015,12,0.12,69.2
425,0,75,1125,613,180,4.2,0.015,12,0.12,68.7
475,0,25,1125,613,180,4.2,0.015,12,0.16,66.1
465,0,35,1125,613,180,4.2,0.015,12,0.16,66.8
450,0,50,1125,613,180,4.2,0.015,12,0.16,69.2
440,0,60,1125,613,180,4.2,0.015,12,0.16,68.4
425,0,75,1125,613,180,4.2,0.015,12,0.16,67.7
475,0,25,1125,613,180,4.2,0.015,12,0.2,65.8
465,0,35,1125,613,180,4.2,0.015,12,0.2,66.2
450,0,50,1125,613,180,4.2,0.015,12,0.2,68.9
440,0,60,1125,613,180,4.2,0.015,12,0.2,68.2
425,0,75,1125,613,180,4.2,0.015,12,0.2,67.4
454,0,0,1209,519,168,4.54,0.015,20,0,53.68
454,0,0,1209,519,168,4.54,0.015,20,0.05,47.58
454,0,0,1209,519,168,4.54,0.015,20,0.1,45.39
454,0,0,1209,519,168,4.54,0.015,20,0.15,43.97
454,0,0,1209,519,168,4.54,0.015,20,0.2,40.7
462,0,0,1172,631,185,0,0.02,30,0,49.24
462,0,0,1172,631,185,0,0.02,30,0.05,52.11
462,0,0,1172,631,185,0,0.02,30,0.1,54.34
462,0,0,1172,631,185,0,0.02,30,0.15,52.93
462,0,0,1172,631,185,0,0.02,30,0.2,49.54
462,0,0,1172,631,185,0,0.02,30,0.25,47.65
462,0,0,1172,631,185,0,0.02,30,0.3,46.22
543,0,0,900,740,179,0,0.013,20,0,60.72
402,121,20,900,740,179,0,0.013,20,0,60.7
402,121,20,900,740,179,0,0.013,20,0.05,61.7
402,121,20,900,740,179,0,0.013,20,0.1,63.5
408,122,21,895,733,182,0,0.013,20,0.05,61.6
414,124,21,890,728,184,0,0.013,20,0.05,63
421,126,21,884,723,187,0,0.013,20,0.05,64.9
402,121,20,918,722,179,0,0.013,20,0.05,60.9
402,121,20,935,705,179,0,0.013,20,0.05,62.4
402,121,20,951,689,179,0,0.013,20,0.05,63.8
414,124,21,890,728,184,0,0.013,20,0.1,64.7
426,128,20,878,718,190,0,0.013,20,0.1,63.2
439,132,22,866,708,195,0,0.013,20,0.1,65.9
402,121,20,935,705,179,0,0.013,20,0.1,63.9
402,121,20,968,672,179,0,0.013,20,0.1,64.2
402,121,20,1000,640,179,0,0.013,20,0.1,65.2
420,60,0,1069,656,210,2.4,0.015,30,0,49.4
420,60,0,1069,656,210,2.4,0.015,30,0.1,55
420,60,0,1069,656,210,2.4,0.015,30,0.15,52.4
420,60,0,1069,656,210,2.4,0.015,30,0.2,48.3
420,60,0,1069,656,210,2.4,0.015,30,0.25,46.8
420,60,0,1069,656,210,2.4,0.015,30,0.3,46.1
420,60,0,1069,656,210,2.4,0.015,30,0.35,45.4
390,88,0,1170,716,165,3.9,0.015,12,0,50.91
390,88,0,1170,716,165,3.9,0.015,12,0.04,58.07
390,88,0,1170,716,165,3.9,0.015,12,0.08,59.63
390,88,0,1170,716,165,3.9,0.015,12,0.12,57.1
390,88,0,1170,716,165,3.9,0.015,12,0.16,54.23
390,88,0,1170,716,165,3.9,0.015,12,0.2,53.21
402,20.1,96,1070,688,170,4,0.015,20,0,34.7
402,20.1,96,1070,688,170,4,0.015,20,0.04,35.1
402,20.1,96,1070,688,170,4,0.015,20,0.08,36.4
