concrete(kg/m³),Fly Ash (kg/m³),Silica Fume (kg/m³),Coarse Aggregate (kg/m³),Fine Aggregate (kg/m³),Water (kg/m³),Water Reducer (kg/m³),Fiber Diameter (mm),Fiber Length (mm),Fiber Content (%),Flexural Strength (MPa)
400,30,0,1221,688,112,8,0.02,12,0,5.4
400,30,0,1221,688,112,8,0.02,12,0.05,5.86
400,30,0,1221,688,112,8,0.02,12,0.1,6.68
400,30,0,1221,688,112,8,0.02,12,0.15,7.03
390,0,0,642.25,1193.66,175,0,0.02,12,0,5.7
390,0,0,642.25,1193.66,175,0,0.02,12,0.075,4.9
390,0,0,642.25,1193.66,175,0,0.02,12,0.15,6.1
390,0,0,642.25,1193.66,175,0,0.02,12,0.225,5.5
450,0,0,1150,670,207,0,0.02,30,0,5.12
450,0,0,1150,670,207,0,0.02,30,0.05,5.33
450,0,0,1150,670,207,0,0.02,30,0.1,5.61
450,0,0,1150,670,207,0,0.02,30,0.15,6.02
450,0,0,1150,670,207,0,0.02,30,0.2,6.58
450,0,0,1150,670,207,0,0.02,30,0.25,6.66
450,0,0,1150,670,207,0,0.02,30,0.3,6.85
420,0,0,1188.6,684.6,160,4.2,0.015,18,0,4.59
420,0,0,1188.6,684.6,160,4.2,0.015,18,0.05,5.07
420,0,0,1188.6,684.6,160,4.2,0.015,18,0.1,5.61
420,0,0,1188.6,684.6,160,4.2,0.015,18,0.15,5.34
420,0,0,1188.6,684.6,160,4.2,0.015,18,0.1,5.61
378,42,0,1188.6,684.6,160,4.2,0.015,18,0.1,6.01
336,84,0,1188.6,684.6,160,4.2,0.015,18,0.1,5.49
294,126,0,1188.6,684.6,160,4.2,0.015,18,0.1,4.62
252,168,0,1188.6,684.6,160,4.2,0.015,18,0.1,4.03
217,54,0,1288,693,125,2.71,0.0174,6,0,3.83
217,54,0,1286,692,125,2.71,0.0174,6,0.1,4.21
217,54,0,1284,691.5,125,2.71,0.0174,6,0.2,4.02
217,54,0,1282,690.6,125,2.71,0.0174,6,0.3,3.89
217,54,0,1280,689.6,125,2.71,0.0174,6,0.4,4.32
217,54,0,1278,688.7,125,2.71,0.0174,6,0.5,4.91
217,54,0,1286,692,125,2.71,0.0174,12,0.1,4
217,54,0,1284,691.5,125,2.71,0.0174,12,0.2,4.1
217,54,0,1282,690.6,125,2.71,0.0174,12,0.3,3.95
217,54,0,1280,689.6,125,2.71,0.0174,12,0.4,4.78
217,54,0,1278,688.7,125,2.71,0.0174,12,0.5,4.94
400,0,0,512,762,220,0,0.015,18,0,2.43
400,0,0,512,762,220,0,0.015,18,0.05,2.56
400,0,0,512,762,220,2,0.015,18,0.1,2.65
400,0,0,512,762,220,2,0.015,18,0.15,3.01
400,0,0,512,762,220,4,0.015,18,0.2,3.23
400,0,0,512,762,220,4,0.015,18,0.25,3.34
340,0,0,1540,610,153,2.9,0.016,22,0,7.39
340,0,0,1540,610,153,2.9,0.016,22,0.06,8.21
340,0,0,1540,610,153,2.9,0.016,22,0.08,8.63
340,0,0,1540,610,153,2.9,0.016,22,0.1,8.89
340,0,0,1540,610,153,2.9,0.016,22,0.12,9.15
380,0,0,1312.92,562.68,144.4,3.8,0.018,17,0,5.42
380,0,0,1312.92,562.68,144.4,3.8,0.018,17,0.1,5.82
380,0,0,1312.92,562.68,144.4,3.8,0.018,17,0.2,5.69
380,0,0,1312.92,562.68,144.4,3.8,0.018,17,0.3,5.56
380,0,0,1312.92,562.68,144.4,3.8,0.018,17,0.4,5.73
380,0,0,1265.07,595.33,159.6,3.8,0.018,17,0,4.54
380,0,0,1265.07,595.33,159.6,3.8,0.018,17,0.1,5.58
380,0,0,1265.07,595.33,159.6,3.8,0.018,17,0.2,5.16
380,0,0,1265.07,595.33,159.6,3.8,0.018,17,0.3,4.68
380,0,0,1265.07,595.33,159.6,3.8,0.018,17,0.4,5.4
330,0,0,1300,671,152,0,0.015,12,0,4.74
330,0,0,1300,671,152,0,0.015,12,0.05,4.78
330,0,0,1300,671,152,0,0.015,12,0.06,4.99
330,0,0,1300,671,152,0,0.015,12,0.08,5.2
350,80,0,1047,794,170,3,0.015,12,0,5.52
350,80,0,1047,794,170,3,0.015,12,0.1,6.15
350,80,0,1047,794,170,3,0.015,12,0.2,6.37
350,80,0,1047,794,170,3,0.015,12,0.3,5.76
350,80,0,1047,794,170,3,0.015,18,0,5.52
350,80,0,1047,794,170,3,0.015,18,0.1,6.55
350,80,0,1047,794,170,3,0.015,18,0.2,6.28
350,80,0,1047,794,170,3,0.015,18,0.3,5.69
