concrete(kg/m³),Fly Ash (kg/m³),Silica Fume (kg/m³),Coarse Aggregate (kg/m³),Fine Aggregate (kg/m³),Water (kg/m³),Water Reducer (kg/m³),Fiber Diameter (mm),Fiber Length (mm),Fiber Content (%),Splitting Tensile Strength (MPa)
450,0,0,1150,670,207,0,0.02,30,0,4.03
450,0,0,1150,670,207,0,0.02,30,0.05,4.17
450,0,0,1150,670,207,0,0.02,30,0.1,4.35
450,0,0,1150,670,207,0,0.02,30,0.15,4.52
450,0,0,1150,670,207,0,0.02,30,0.2,4.74
450,0,0,1150,670,207,0,0.02,30,0.25,4.87
450,0,0,1150,670,207,0,0.02,30,0.3,5.07
420,0,0,1188.6,684.6,160,4.2,0.015,18,0,6.8
420,0,0,1188.6,684.6,160,4.2,0.015,18,0.05,7.1
420,0,0,1188.6,684.6,160,4.2,0.015,18,0.1,7.4
420,0,0,1188.6,684.6,160,4.2,0.015,18,0.15,7.8
420,0,0,1188.6,684.6,160,4.2,0.015,18,0.1,8.2
378,42,0,1188.6,684.6,160,4.2,0.015,18,0.1,8.8
336,84,0,1188.6,684.6,160,4.2,0.015,18,0.1,7.3
294,126,0,1188.6,684.6,160,4.2,0.015,18,0.1,6.4
252,168,0,1188.6,684.6,160,4.2,0.015,18,0.1,5.6
300,100,0,1184,672,144,3,0.015,18,0,4.73
300,100,0,1184,672,144,3,0.015,18,0.1,4.34
300,100,0,1184,672,144,3,0.015,18,0.2,4.6
300,100,0,1184,672,144,3,0.015,18,0.3,2.82
217,54,0,1288,693,125,2.71,0.0174,6,0,2.29
217,54,0,1286,692,125,2.71,0.0174,6,0.1,2.36
217,54,0,1284,691.5,125,2.71,0.0174,6,0.2,2.38
217,54,0,1282,690.6,125,2.71,0.0174,6,0.3,2.5
217,54,0,1280,689.6,125,2.71,0.0174,6,0.4,2.51
217,54,0,1278,688.7,125,2.71,0.0174,6,0.5,2.4
217,54,0,1286,692,125,2.71,0.0174,12,0.1,2.28
217,54,0,1284,691.5,125,2.71,0.0174,12,0.2,2.27
217,54,0,1282,690.6,125,2.71,0.0174,12,0.3,2.26
217,54,0,1280,689.6,125,2.71,0.0174,12,0.4,2.28
217,54,0,1278,688.7,125,2.71,0.0174,12,0.5,2.2
400,0,0,512,762,220,0,0.015,18,0,3.04
400,0,0,512,762,220,0,0.015,18,0.05,3.34
400,0,0,512,762,220,2,0.015,18,0.1,3.62
400,0,0,512,762,220,2,0.015,18,0.15,3.87
400,0,0,512,762,220,4,0.015,18,0.2,4.01
400,0,0,512,762,220,4,0.015,18,0.25,4.12
340,0,0,1540,610,153,2.9,0.016,22,0,4.31
340,0,0,1540,610,153,2.9,0.016,22,0.06,4.57
340,0,0,1540,610,153,2.9,0.016,22,0.08,4.71
340,0,0,1540,610,153,2.9,0.016,22,0.1,5.11
340,0,0,1540,610,153,2.9,0.016,22,0.12,5.38
330,0,0,1300,671,152,0,0.015,12,0,3.38
330,0,0,1300,671,152,0,0.015,12,0.05,3.45
330,0,0,1300,671,152,0,0.015,12,0.06,3.47
330,0,0,1300,671,152,0,0.015,12,0.08,3.49
350,80,0,1047,794,170,3,0.015,12,0,4.5
350,80,0,1047,794,170,3,0.015,12,0.1,4.55
350,80,0,1047,794,170,3,0.015,12,0.2,4.8
350,80,0,1047,794,170,3,0.015,12,0.3,4.25
350,80,0,1047,794,170,3,0.015,18,0,4.5
350,80,0,1047,794,170,3,0.015,18,0.1,4.87
350,80,0,1047,794,170,3,0.015,18,0.2,4.72
350,80,0,1047,794,170,3,0.015,18,0.3,4.38
350,80,0,1047,794,170,3,0.015,24,0,4.5
350,80,0,1047,794,170,3,0.015,24,0.1,5.06
350,80,0,1047,794,170,3,0.015,24,0.2,4.85
350,80,0,1047,794,170,3,0.015,24,0.3,4.36
340,0,0,987,875,180,5,0.015,12,0,3.7
340,0,0,987,875,180,5,0.015,18,0.05,3.5
340,0,0,987,875,180,5,0.015,12,0.1,3.7
340,0,0,987,875,180,5,0.015,18,0.1,4
