Type_of_fiber,Fiber_diameter,Embedded_length,Youngs_modulus_of_fiber,Poisson_ratio_of_fiber,Type_of_matrix,Youngs_modulus_of_matrix,Poissons_ratio_of_matrix,Loading_rate,Prepare_temperature,Test_temperature,Fmax
1.0,6.0,42.5,294.0,0.3,1,3.0,0.34,6.0,370,30.0,0.054
1.0,6.0,42.5,294.0,0.3,1,3.0,0.34,6.0,370,30.0,0.049
1.0,6.0,42.5,294.0,0.3,1,2.5,0.34,6.0,370,50.0,0.055
1.0,6.0,42.5,294.0,0.3,1,2.3,0.34,6.0,370,70.0,0.058
1.0,6.0,42.5,294.0,0.3,1,2.3,0.34,6.0,370,70.0,0.048
1.0,6.0,42.5,294.0,0.3,1,2.3,0.34,6.0,370,70.0,0.045
1.0,6.0,42.5,294.0,0.3,1,2.3,0.34,6.0,370,70.0,0.043
1.0,6.0,42.5,294.0,0.3,1,2.0,0.34,6.0,370,100.0,0.069
1.0,6.0,42.5,294.0,0.3,1,2.0,0.34,6.0,370,100.0,0.067
1.0,6.0,42.5,294.0,0.3,1,2.0,0.34,6.0,370,100.0,0.057
1.0,6.0,42.5,294.0,0.3,1,2.0,0.34,6.0,370,100.0,0.051
1.0,6.0,42.5,294.0,0.3,1,2.0,0.34,6.0,370,100.0,0.048
1.0,6.0,42.5,294.0,0.3,1,2.0,0.34,6.0,370,100.0,0.039
2.0,7.0,50.0,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.065
2.0,7.0,51.3,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.071
2.0,7.0,51.6,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.073
2.0,7.0,51.8,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.069
2.0,7.0,52.2,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.077
2.0,7.0,54.1,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.077
2.0,7.0,54.8,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.079
2.0,7.0,54.9,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.082
2.0,7.0,56.2,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.084
2.0,7.0,56.3,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.083
2.0,7.0,56.3,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.079
2.0,7.0,57.2,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.076
2.0,7.0,57.6,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.083
2.0,7.0,58.4,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.078
2.0,7.0,59.4,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.081
2.0,7.0,59.9,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.086
2.0,7.0,60.5,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.081
2.0,7.0,61.2,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.089
2.0,7.0,62.6,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.083
2.0,7.0,62.3,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.094
2.0,7.0,63.2,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.087
2.0,7.0,63.6,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.087
2.0,7.0,64.0,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.098
2.0,7.0,64.3,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.092
2.0,7.0,64.5,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.089
2.0,7.0,65.3,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.089
2.0,7.0,66.2,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.092
2.0,7.0,67.7,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.091
2.0,7.0,67.8,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.094
2.0,7.0,67.6,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.101
2.0,7.0,67.7,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.104
2.0,7.0,68.2,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.093
2.0,7.0,68.4,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.105
2.0,7.0,69.3,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.09
2.0,7.0,70.3,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.093
2.0,7.0,70.9,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.098
2.0,7.0,71.4,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.092
2.0,7.0,72.5,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.111
2.0,7.0,73.6,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.1
2.0,7.0,74.6,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.11
2.0,7.0,75.0,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.103
2.0,7.0,75.4,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.097
2.0,7.0,76.0,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.1
2.0,7.0,76.5,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.104
2.0,7.0,77.3,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.1
2.0,7.0,77.8,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.123
2.0,7.0,78.9,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.114
2.0,7.0,79.6,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.108
2.0,7.0,79.9,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.108
2.0,7.0,79.9,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.115
2.0,7.0,80.0,230.0,0.2,2,2.74,0.35,0.014,230,25.0,0.106
2.0,7.0,50.2,230.0,0.2,2,2.74,0.35,0.014,230,-196.0,0.077
2.0,7.0,50.6,230.0,0.2,2,2.74,0.35,0.014,230,-196.0,0.082
