Type_of_fiber,Fiber_diameter,Embedded_length,Youngs_modulus_of_fiber,Poisson_ratio_of_fiber,Type_of_matrix,Youngs_modulus_of_matrix,Poissons_ratio_of_matrix,Loading_rate,Prepare_temperature,Test_temperature,IFSS
1.0,6.0,42.5,294.0,0.3,1,3.0,0.34,6.0,370,30.0,67.1
1.0,6.0,42.5,294.0,0.3,1,3.0,0.34,6.0,370,30.0,60.8
1.0,6.0,42.5,294.0,0.3,1,2.5,0.34,6.0,370,50.0,68.6
1.0,6.0,42.5,294.0,0.3,1,2.3,0.34,6.0,370,70.0,71.8
1.0,6.0,42.5,294.0,0.3,1,2.3,0.34,6.0,370,70.0,60.2
1.0,6.0,42.5,294.0,0.3,1,2.3,0.34,6.0,370,70.0,56.5
1.0,6.0,42.5,294.0,0.3,1,2.3,0.34,6.0,370,70.0,53.6
1.0,6.0,42.5,294.0,0.3,1,2.0,0.34,6.0,370,100.0,86.2
1.0,6.0,42.5,294.0,0.3,1,2.0,0.34,6.0,370,100.0,83.3
1.0,6.0,42.5,294.0,0.3,1,2.0,0.34,6.0,370,100.0,70.9
1.0,6.0,42.5,294.0,0.3,1,2.0,0.34,6.0,370,100.0,63.8
1.0,6.0,42.5,294.0,0.3,1,2.0,0.34,6.0,370,100.0,59.7
1.0,6.0,42.5,294.0,0.3,1,2.0,0.34,6.0,370,100.0,48.9
2.0,7.0,50.0,230.0,0.2,2,2.74,0.35,0.014,230,25.0,58.8
2.0,7.0,51.3,230.0,0.2,2,2.74,0.35,0.014,230,25.0,63.1
2.0,7.0,51.6,230.0,0.2,2,2.74,0.35,0.014,230,25.0,64.0
2.0,7.0,51.8,230.0,0.2,2,2.74,0.35,0.014,230,25.0,60.6
2.0,7.0,52.2,230.0,0.2,2,2.74,0.35,0.014,230,25.0,66.9
2.0,7.0,54.1,230.0,0.2,2,2.74,0.35,0.014,230,25.0,65.0
2.0,7.0,54.8,230.0,0.2,2,2.74,0.35,0.014,230,25.0,65.8
2.0,7.0,54.9,230.0,0.2,2,2.74,0.35,0.014,230,25.0,68.1
2.0,7.0,56.2,230.0,0.2,2,2.74,0.35,0.014,230,25.0,67.9
2.0,7.0,56.3,230.0,0.2,2,2.74,0.35,0.014,230,25.0,64.0
2.0,7.0,56.3,230.0,0.2,2,2.74,0.35,0.014,230,25.0,66.9
2.0,7.0,57.2,230.0,0.2,2,2.74,0.35,0.014,230,25.0,60.2
2.0,7.0,57.6,230.0,0.2,2,2.74,0.35,0.014,230,25.0,65.2
2.0,7.0,58.4,230.0,0.2,2,2.74,0.35,0.014,230,25.0,60.2
2.0,7.0,59.4,230.0,0.2,2,2.74,0.35,0.014,230,25.0,61.9
2.0,7.0,59.9,230.0,0.2,2,2.74,0.35,0.014,230,25.0,64.8
