Cement-to-cm³,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm ,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Size of specimen (mm),28-day compressive strength (MPa)
0.671938128,52.5,0.300011543,0,0,0,0.028050329,0,0,1.449959598,2,0.19993074,0.049982685,0,0,40,100.0722034
0.671926439,52.5,0.300034056,0,0,0,0.028039505,0,0,1.449880804,2,0.18083778,0.049948916,0,0,40,105.4318871
0.671967746,52.5,0.300033598,0,0,0,0.027998656,0,0,1.449882406,2,0.165528055,0.049949602,0,0,40,103.7944353
0.672040586,52.5,0,0.3,0,0,0.027959414,0,0,1.450169109,2,0.2,0.05005637,0,0,40,106.8693027
0.671985816,52.5,0,0.299977837,0,0,0.028036348,0,0,1.450022163,2,0.180851064,0.049977837,0,0,40,112.4707731
0.672021858,52.5,0,0.3,0,0,0.027978142,0,0,1.450054645,2,0.16557377,0.050054645,0,0,40,110.8333214
0.95998704,52.5,0,0,0,0,0.04001296,0.428640855,0,2.071602138,2,0.28576057,0.071440143,0,0,40,98.22049281
0.960025482,52.5,0,0,0,0,0.039974518,0.428571429,0,2.071667463,2,0.258321389,0.071508202,0,0,40,102.8589453
0.959949741,52.5,0,0,0,0,0.040050259,0.428616303,0,2.071305167,2,0.236532119,0.071462227,0,0,40,100.7374612
0.972029537,52.5,0,0,0,0,0.027970463,0,0,1.44987693,0.6,0.200044753,0.050011188,0,0,40,108
0.971959534,52.5,0,0,0,0,0.028040466,0,0,1.449857049,0.6,0.180778535,0.050032989,0,0,40,116
0.972020388,52.5,0,0,0,0,0.027979612,0,0,1.450059646,0.5,0.16560026,0.049994578,0,0,40,115
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,0,1.322875545,2,0.209952213,0.047683358,0,0,40,100.9161905
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,0.222448201,1.618660226,2,0.256895894,0.058344985,0,0,40,94.93677652
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,0,1.322875545,2,0.209952213,0.047683358,0.5,65,40,115.3800929
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,0.222448201,1.618660226,2,0.256895894,0.058344985,0.5,65,40,107.2985742
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,0,1.322875545,2,0.209952213,0.047683358,1,65,40,125.0394331
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,0.222448201,1.618660226,2,0.256895894,0.058344985,1,65,40,121.1621238
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,0,1.322875545,2,0.209952213,0.047683358,1.5,65,40,132.2973623
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,0.222448201,1.618660226,2,0.256895894,0.058344985,1.5,65,40,130.5221577
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,0,1.322875545,2,0.209952213,0.047683358,2,65,40,146.1611605
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,0.222448201,1.618660226,2,0.256895894,0.058344985,2,65,40,140.4817986
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,0,1.322875545,2,0.209952213,0.047683358,2.5,65,40,155.8207493
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,0.222448201,1.618660226,2,0.256895894,0.058344985,2.5,65,40,149.5407861
0.749768304,42.5,0,0,0.250231696,0,0,0,0,1,2.36,0.164040778,0.020018536,0,0,40,108.7
0.749765698,42.5,0,0,0.250234302,0,0,0,0,1,2.36,0.164011246,0.019962512,1,65,40,131.63
0.75,42.5,0,0,0.25,0,0,0,0,1,2.36,0.163825758,0.019981061,2,65,40,151.5
0.750239234,42.5,0,0,0.249760766,0,0,0,0,1,2.36,0.163636364,0.02,3,65,40,158
0.449952336,42.5,0,0.300285987,0.249761678,0,0,0,0,1,2.36,0.169685415,0.020019066,0,0,40,96
0.449952336,42.5,0,0.300285987,0.249761678,0,0,0,0,1,2.36,0.169685415,0.020019066,2,30,40,136
0.449952336,42.5,0,0.300285987,0.249761678,0,0,0,0,1,2.36,0.169685415,0.020019066,2,40,40,144
0.449952336,42.5,0,0.300285987,0.249761678,0,0,0,0,1,2.36,0.169685415,0.020019066,2,50,40,130
0.449952336,42.5,0,0.300285987,0.249761678,0,0,0,0,1,2.36,0.169685415,0.020019066,2,55,40,126
0.449952336,42.5,0,0.300285987,0.249761678,0,0,0,0,1,2.36,0.169685415,0.020019066,2,65,40,122
0.788381743,52.5,0,0,0.211618257,0,0,0,0,0.724481328,0.6,0.156846473,0.025726141,2.5,65,40,136
0.780679934,52.5,0,0,0.211442786,0,0.00787728,0,0,0.723880597,0.6,0.156716418,0.025704809,2.5,65,40,139
0.772802653,52.5,0,0,0.211442786,0,0.015754561,0,0,0.723880597,0.6,0.156716418,0.025704809,2.5,65,40,141
0.76473029,52.5,0,0,0.211618257,0,0.023651452,0,0,0.724481328,0.6,0.156846473,0.025726141,2.5,65,40,143
0.756846473,52.5,0,0,0.211618257,0,0.03153527,0,0,0.724481328,0.6,0.156846473,0.025726141,2.5,65,40,142
0.65625,52.5,0,0,0.171875,0,0.171875,0,0.45625,0.45625,0.5,0.11875,0.021875,6,50,110,168.0232558
0.671926439,52.5,0.300034056,0,0.028039505,0,0,0,0,1.449880804,1.25,0.18083778,0.049948916,0,0,40,109.7886667
0.671985816,52.5,0,0.299977837,0.028036348,0,0,0,0,1.450022163,1.25,0.180851064,0.049977837,0,0,40,118.3908652
0.960025482,52.5,0,0,0.039974518,0,0,0.428571429,0,2.071667463,1.25,0.258321389,0.071508202,0,0,40,107.9318947
0.971959534,52.5,0,0,0.028040466,0,0,0,0,1.449857049,1.25,0.180778535,0.050032989,0,0,40,121.9494585
0.54468579,52.5,0,0.356325651,0.098988559,0,0,0,0,0.870502404,0.3,0.15,0.010495772,2,65,50,123
0.8,42.5,0,0,0.2,0,0,0,0,0.8,0.1,0.145,0.02,2.461538462,72.22222222,40,110.3170039
0.8,42.5,0,0,0.2,0,0,0,0,0.8,0.1,0.1725,0.02,2.461538462,72.22222222,40,156.1392529
0.8,42.5,0,0,0.2,0,0,0,0,0.8,0.1,0.19,0.02,2.461538462,72.22222222,40,141.4679598
0.8,42.5,0,0,0.2,0,0,0,0,0.8,0.1,0.216666667,0.02,2.461538462,72.22222222,40,141.7846799
0.8,42.5,0,0,0.2,0,0,0,0,0.8,0.1,0.238333333,0.02,2.461538462,72.22222222,40,137.8622438
0.79338843,52.5,0.20661157,0,0,0,0,0,0,0.79338843,1,0.13553719,0.023140496,2.461538462,72.22222222,40,121.4
0.79338843,52.5,0.20661157,0,0,0,0,0,0,0.79338843,1,0.143801653,0.023140496,2.461538462,72.22222222,40,118.25
0.79338843,52.5,0.20661157,0,0,0,0,0,0,0.79338843,1,0.151239669,0.023140496,2.461538462,72.22222222,40,113.72
