Cement-to-cm,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Length of specimen (mm),28-day flexural strength (MPa)
0.671938128,52.5,0.300011543,0,0,0,0.028050329,0,1.449959598,2,0,0.19993074,0.049982685,0,0,160,12.75229358
0.671926439,52.5,0.300034056,0,0,0,0.028039505,0,1.449880804,2,0,0.18083778,0.049948916,0,0,160,14.49541284
0.671967746,52.5,0.300033598,0,0,0,0.027998656,0,1.449882406,2,0,0.165528055,0.049949602,0,0,160,14.17431193
0.672040586,52.5,0,0.3,0,0,0.027959414,0,1.450169109,2,0,0.2,0.05005637,0,0,160,15.32110092
0.671985816,52.5,0,0.299977837,0,0,0.028036348,0,1.450022163,2,0,0.180851064,0.049977837,0,0,160,17.70642202
0.672021858,52.5,0,0.3,0,0,0.027978142,0,1.450054645,2,0,0.16557377,0.050054645,0,0,160,16.97247706
0.95998704,52.5,0,0,0,0,0.04001296,0.428640855,2.071602138,2,0,0.28576057,0.071440143,0,0,160,13.0733945
0.960025482,52.5,0,0,0,0,0.039974518,0.428571429,2.071667463,2,0,0.258321389,0.071508202,0,0,160,14.12844037
0.959949741,52.5,0,0,0,0,0.040050259,0.428616303,2.071305167,2,0,0.236532119,0.071462227,0,0,160,13.89908257
0.972029537,52.5,0,0,0,0,0.027970463,0,1.44987693,0.6,0,0.200044753,0.050011188,0,0,160,16.9
0.971959534,52.5,0,0,0,0,0.028040466,0,1.449857049,0.6,0,0.180778535,0.050032989,0,0,160,22.2
0.972020388,52.5,0,0,0,0,0.027979612,0,1.450059646,0.5,0,0.16560026,0.049994578,0,0,160,21.4
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,1.322875545,2,0,0.209952213,0.047683358,0,0,160,18.18368717
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,1.618660226,2,0.222448201,0.256895894,0.058344985,0,0,160,16.68115461
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,1.322875545,2,0,0.209952213,0.047683358,0.5,65,160,19.66848161
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,1.618660226,2,0.222448201,0.256895894,0.058344985,0.5,65,160,17.36030214
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,1.322875545,2,0,0.209952213,0.047683358,1,65,160,21.61397894
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,1.618660226,2,0.222448201,0.256895894,0.058344985,1,65,160,19.19036609
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,1.322875545,2,0,0.209952213,0.047683358,1.5,65,160,24.13479885
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,1.618660226,2,0.222448201,0.256895894,0.058344985,1.5,65,160,22.97764427
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,1.322875545,2,0,0.209952213,0.047683358,2,65,160,27.05838797
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,1.618660226,2,0.222448201,0.256895894,0.058344985,2,65,160,26.93731311
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,1.322875545,2,0,0.209952213,0.047683358,2.5,65,160,33.4929312
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,1.618660226,2,0.222448201,0.256895894,0.058344985,2.5,65,160,32.79609978
0.749768304,42.5,0,0,0.250231696,0,0,0,1,2.36,0,0.164040778,0.020018536,0,0,160,18
0.749765698,42.5,0,0,0.250234302,0,0,0,1,2.36,0,0.164011246,0.019962512,1,65,160,21
0.75,42.5,0,0,0.25,0,0,0,1,2.36,0,0.163825758,0.019981061,2,65,160,27
0.750239234,42.5,0,0,0.249760766,0,0,0,1,2.36,0,0.163636364,0.02,3,65,160,36
0.449952336,42.5,0,0.300285987,0.249761678,0,0,0,1,2.36,0,0.169685415,0.020019066,0,0,160,18
0.449952336,42.5,0,0.300285987,0.249761678,0,0,0,1,2.36,0,0.169685415,0.020019066,2,30,160,25
0.449952336,42.5,0,0.300285987,0.249761678,0,0,0,1,2.36,0,0.169685415,0.020019066,2,40,160,27
0.449952336,42.5,0,0.300285987,0.249761678,0,0,0,1,2.36,0,0.169685415,0.020019066,2,50,160,21
0.449952336,42.5,0,0.300285987,0.249761678,0,0,0,1,2.36,0,0.169685415,0.020019066,2,55,160,17
0.449952336,42.5,0,0.300285987,0.249761678,0,0,0,1,2.36,0,0.169685415,0.020019066,2,65,160,16
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,1.226666667,1.25,0,0.2,0.033333333,0,0,160,7.729257642
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,1.226666667,1.25,0,0.2,0.033333333,0.5,0,160,9.213973799
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,1.226666667,1.25,0,0.2,0.033333333,1,0,160,14.84716157
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,1.226666667,1.25,0,0.2,0.033333333,1.5,0,160,17.59825328
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,1.226666667,1.25,0,0.2,0.033333333,2,0,160,20.91703057
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,1.226666667,1.25,0,0.2,0.033333333,2.5,0,160,22.66375546
0.54468579,52.5,0,0.356325651,0.098988559,0,0,0,0.870502404,0.3,0,0.15,0.010495772,2,65,200,20.2
0.8,42.5,0,0,0.2,0,0,0,0.8,0.1,0,0.1725,0.02,2.461538462,72.22222222,160,36.3141994
0.8,42.5,0,0,0.2,0,0,0,0.8,0.1,0,0.19,0.02,2.461538462,72.22222222,160,31.96374622
0.79338843,52.5,0.20661157,0,0,0,0,0,0.79338843,1,0,0.13553719,0.023140496,2.461538462,72.22222222,160,39.11
0.79338843,52.5,0.20661157,0,0,0,0,0,0.79338843,1,0,0.143801653,0.023140496,2.461538462,72.22222222,160,34.12
0.79338843,52.5,0.20661157,0,0,0,0,0,0.79338843,1,0,0.151239669,0.023140496,2.461538462,72.22222222,160,30.03
0.79338843,52.5,0.20661157,0,0,0,0,0,0.79338843,1,0,0.159504132,0.023140496,2.461538462,72.22222222,160,38.04
0.79338843,52.5,0.20661157,0,0,0,0,0,0.79338843,1,0,0.166942149,0.023140496,2.461538462,72.22222222,160,37.95
0.79338843,52.5,0.20661157,0,0,0,0,0,0.79338843,1,0,0.175206612,0.023140496,2.461538462,72.22222222,160,29.44
0.79338843,52.5,0,0,0.20661157,0,0,0,0.79338843,1,0,0.175206612,0.023140496,2.461538462,72.22222222,160,32.71
0.550251256,52.5,0,0.350083752,0.099664992,0,0,0,0.84840871,1,0,0.154941374,0.033500838,2,65,350,20.7
1,42.5,0,0,0,0,0,0,1,2.36,0,0.164040778,0.020018536,2,65,160,19.02838414
0.899907322,42.5,0,0,0.100092678,0,0,0,1,2.36,0,0.164040778,0.020018536,2,65,160,21.12474951
0.849860982,42.5,0,0,0.150139018,0,0,0,1,2.36,0,0.164040778,0.020018536,2,65,160,21.97150008
0.799814643,42.5,0,0,0.200185357,0,0,0,1,2.36,0,0.164040778,0.020018536,2,65,160,24.76823327
0.749768304,42.5,0,0,0.250231696,0,0,0,1,2.36,0,0.164040778,0.020018536,2,65,160,24.51449488
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,1.226666667,1.25,0,0.2,0.033333333,0,0,160,9.438860061
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,1.226666667,1.25,0,0.2,0.033333333,0.5,65,160,12.07585046
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,1.226666667,1.25,0,0.2,0.033333333,1,65,160,20.55520696
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,1.226666667,1.25,0,0.2,0.033333333,1.5,65,160,24.7464507
0.777777778,52.5,0.166666667,0,0.055555556,0,0,0,1.226666667,1.25,0,0.2,0.033333333,2,65,160,27.9730267
