Cement-to-cm,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Mini-slump spread (mm)
0.909,52.5,0,0,0.046,0,0.045,0,1.323,2,0,0.21,0.048,0,0,342.228
0.889,52.5,0,0,0.056,0,0.056,0,1.619,2,0.222,0.257,0.058,0,0,382.675
0.909,52.5,0,0,0.046,0,0.045,0,1.323,2,0,0.21,0.048,0.5,65,326.68
0.889,52.5,0,0,0.056,0,0.056,0,1.619,2,0.222,0.257,0.058,0.5,65,363.18
0.909,52.5,0,0,0.046,0,0.045,0,1.323,2,0,0.21,0.048,1,65,310.355
0.889,52.5,0,0,0.056,0,0.056,0,1.619,2,0.222,0.257,0.058,1,65,342.578
0.909,52.5,0,0,0.046,0,0.045,0,1.323,2,0,0.21,0.048,1.5,65,293.121
0.889,52.5,0,0,0.056,0,0.056,0,1.619,2,0.222,0.257,0.058,1.5,65,320.656
0.909,52.5,0,0,0.046,0,0.045,0,1.323,2,0,0.21,0.048,2,65,274.809
0.889,52.5,0,0,0.056,0,0.056,0,1.619,2,0.222,0.257,0.058,2,65,297.12
0.909,52.5,0,0,0.046,0,0.045,0,1.323,2,0,0.21,0.048,2.5,65,255.186
0.889,52.5,0,0,0.056,0,0.056,0,1.619,2,0.222,0.257,0.058,2.5,65,271.551
0.75,42.5,0,0,0.25,0,0,0,1,2.36,0,0.164,0.02,0,0,215.235
0.75,42.5,0,0,0.25,0,0,0,1,2.36,0,0.164,0.02,1,65,182.894
0.75,42.5,0,0,0.25,0,0,0,1,2.36,0,0.164,0.02,2,65,159.957
0.75,42.5,0,0,0.25,0,0,0,1,2.36,0,0.164,0.02,3,65,133.417
0.45,42.5,0,0.3,0.25,0,0,0,1,2.36,0,0.17,0.02,0,0,247.58
0.45,42.5,0,0.3,0.25,0,0,0,1,2.36,0,0.17,0.02,2,30,227
0.45,42.5,0,0.3,0.25,0,0,0,1,2.36,0,0.17,0.02,2,40,235
0.45,42.5,0,0.3,0.25,0,0,0,1,2.36,0,0.17,0.02,2,50,240
0.45,42.5,0,0.3,0.25,0,0,0,1,2.36,0,0.17,0.02,2,55,243
0.45,42.5,0,0.3,0.25,0,0,0,1,2.36,0,0.17,0.02,2,65,223
0.788,52.5,0,0,0.212,0,0,0,0.724,0.6,0,0.157,0.026,2.5,65,193
0.781,52.5,0,0,0.211,0,0.008,0,0.724,0.6,0,0.157,0.026,2.5,65,191
0.773,52.5,0,0,0.211,0,0.016,0,0.724,0.6,0,0.157,0.026,2.5,65,184
0.765,52.5,0,0,0.212,0,0.024,0,0.724,0.6,0,0.157,0.026,2.5,65,181
0.757,52.5,0,0,0.212,0,0.032,0,0.724,0.6,0,0.157,0.026,2.5,65,174
0.778,52.5,0.167,0,0.056,0,0,0,1.227,1.25,0,0.2,0.033,0,0,329.876
0.778,52.5,0.167,0,0.056,0,0,0,1.227,1.25,0,0.2,0.033,0.5,0,325.057
0.778,52.5,0.167,0,0.056,0,0,0,1.227,1.25,0,0.2,0.033,1,0,318.245
0.778,52.5,0.167,0,0.056,0,0,0,1.227,1.25,0,0.2,0.033,1.5,0,315.159
0.778,52.5,0.167,0,0.056,0,0,0,1.227,1.25,0,0.2,0.033,2,0,310.167
0.778,52.5,0.167,0,0.056,0,0,0,1.227,1.25,0,0.2,0.033,2.5,0,283.332
0.545,52.5,0,0.356,0.099,0,0,0,0.871,0.3,0,0.15,0.01,0,0,244
0.545,52.5,0,0.356,0.099,0,0,0,0.871,0.3,0,0.15,0.01,2,65,233
0.811,52.5,0,0,0.189,0,0,0,0.264,1,0,0.131,0.018,0,0,179
0.811,52.5,0,0,0.189,0,0,0.478,0.436,1,0,0.198,0.01,0,0,360
0.811,52.5,0,0,0.189,0,0,1.088,0.642,1,0,0.284,0.007,0,0,378
0.778,52.5,0.167,0,0.056,0,0,0,1.227,1.25,0,0.2,0.033,0,0,329.988
0.778,52.5,0.167,0,0.056,0,0,0,1.227,1.25,0,0.2,0.033,0.5,65,325.038
0.778,52.5,0.167,0,0.056,0,0,0,1.227,1.25,0,0.2,0.033,1,65,318.002
0.778,52.5,0.167,0,0.056,0,0,0,1.227,1.25,0,0.2,0.033,1.5,65,314.999
0.778,52.5,0.167,0,0.056,0,0,0,1.227,1.25,0,0.2,0.033,2,65,309.979
0.778,52.5,0.167,0,0.056,0,0,0,1.227,1.25,0,0.2,0.033,2.5,65,283.268
0.75,42.5,0,0,0.25,0,0,0,1,2.36,0,0.164,0.02,2,65,160.011
0.6,42.5,0,0.15,0.25,0,0,0,0.999,2.36,0,0.164,0.02,2,65,162.902
0.45,42.5,0,0.3,0.25,0,0,0,1,2.36,0,0.164,0.02,2,65,170.042
0.3,42.5,0,0.45,0.25,0,0,0,1,2.36,0,0.164,0.02,2,65,180.084
