Cement-to-cm,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,28-day porosity (%)
0.671938128,52.5,0.300011543,0,0,0,0.028050329,0,1.449959598,2,0,0.19993074,0.049982685,0,0,12.88
0.671926439,52.5,0.300034056,0,0,0,0.028039505,0,1.449880804,2,0,0.18083778,0.049948916,0,0,12.06
0.671967746,52.5,0.300033598,0,0,0,0.027998656,0,1.449882406,2,0,0.165528055,0.049949602,0,0,12.29
0.672040586,52.5,0,0.3,0,0,0.027959414,0,1.450169109,2,0,0.2,0.05005637,0,0,11.30
0.671985816,52.5,0,0.299977837,0,0,0.028036348,0,1.450022163,2,0,0.180851064,0.049977837,0,0,10.18
0.672021858,52.5,0,0.3,0,0,0.027978142,0,1.450054645,2,0,0.16557377,0.050054645,0,0,10.53
0.95998704,52.5,0,0,0,0,0.04001296,0.428640855,2.071602138,2,0,0.28576057,0.071440143,0,0,13.36
0.960025482,52.5,0,0,0,0,0.039974518,0.428571429,2.071667463,2,0,0.258321389,0.071508202,0,0,12.19
0.959949741,52.5,0,0,0,0,0.040050259,0.428616303,2.071305167,2,0,0.236532119,0.071462227,0,0,12.35
0.972029537,52.5,0,0,0,0,0.027970463,0,1.44987693,0.6,0,0.200044753,0.050011188,0,0,10.00
0.971959534,52.5,0,0,0,0,0.028040466,0,1.449857049,0.6,0,0.180778535,0.050032989,0,0,8.10
0.972020388,52.5,0,0,0,0,0.027979612,0,1.450059646,0.5,0,0.16560026,0.049994578,0,0,8.50
1,52.5,0,0,0,0,0,0.6,2.89738339,2,0.400227531,0.4,0.099886234,2.5,13,10.50
0.989988623,52.5,0,0,0,0,0.010011377,0.6,2.89738339,2,0.400227531,0.4,0.099886234,2.5,13,10.10
0.979977247,52.5,0,0,0,0,0.020022753,0.6,2.89738339,2,0.400227531,0.4,0.099886234,2.5,13,9.74
0.96996587,52.5,0,0,0,0,0.03003413,0.6,2.89738339,2,0.400227531,0.4,0.099886234,2.5,13,9.58
0.959954494,52.5,0,0,0,0,0.040045506,0.6,2.89738339,2,0.400227531,0.4,0.099886234,2.5,13,9.52
0.949943117,52.5,0,0,0,0,0.050056883,0.6,2.89738339,2,0.400227531,0.4,0.099886234,2.5,13,9.80
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,1.322875545,2,0,0.209952213,0.047683358,0,13,10.14
0.874732181,52.5,0,0,0.062848165,0,0.062419654,0.374946436,1.818883017,2,0,0.288673047,0.065562063,0,13,10.28
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,1.618660226,2,0.222448201,0.256895894,0.058344985,0,13,10.00
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,1.322875545,2,0,0.209952213,0.047683358,0.5,13,10.26
0.874732181,52.5,0,0,0.062848165,0,0.062419654,0.374946436,1.818883017,2,0,0.288673047,0.065562063,0.5,13,10.32
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,1.618660226,2,0.222448201,0.256895894,0.058344985,0.5,13,10.04
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,1.322875545,2,0,0.209952213,0.047683358,1,13,10.42
0.874732181,52.5,0,0,0.062848165,0,0.062419654,0.374946436,1.818883017,2,0,0.288673047,0.065562063,1,13,10.41
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,1.618660226,2,0.222448201,0.256895894,0.058344985,1,13,10.14
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,1.322875545,2,0,0.209952213,0.047683358,1.5,13,10.60
0.874732181,52.5,0,0,0.062848165,0,0.062419654,0.374946436,1.818883017,2,0,0.288673047,0.065562063,1.5,13,10.55
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,1.618660226,2,0.222448201,0.256895894,0.058344985,1.5,13,10.31
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,1.322875545,2,0,0.209952213,0.047683358,2,13,10.81
0.874732181,52.5,0,0,0.062848165,0,0.062419654,0.374946436,1.818883017,2,0,0.288673047,0.065562063,2,13,10.74
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,1.618660226,2,0.222448201,0.256895894,0.058344985,2,13,10.54
0.908892583,52.5,0,0,0.045709537,0,0.045397881,0,1.322875545,2,0,0.209952213,0.047683358,2.5,13,11.05
0.874732181,52.5,0,0,0.062848165,0,0.062419654,0.374946436,1.818883017,2,0,0.288673047,0.065562063,2.5,13,10.97
0.888521673,52.5,0,0,0.055929833,0,0.055548494,0,1.618660226,2,0.222448201,0.256895894,0.058344985,2.5,13,10.83
0.811150729,52.5,0,0,0.188849271,0,0,0,0.264376013,1,0,0.130567261,0.01828201,0,0,7.70
0.811161218,52.5,0,0,0.188838782,0,0,1.088218715,0.642192785,1,0,0.283821871,0.007187148,0,0,11.00
1,42.5,0,0,0,0,0,0.428497677,1.428497677,0.95,0,0.29,0.006511506,0,0,11.47
0.928617529,42.5,0,0,0,0.071382471,0,0.428552988,1.42868207,0.95,0,0.287871434,0.007231594,0,0,11.81
0.857124419,42.5,0,0,0,0.142875581,0,0.428497677,1.428497677,0.95,0,0.282851058,0.010133368,0,0,11.12
0.785723506,42.5,0,0,0,0.214276494,0,0.428552988,1.42868207,0.95,0,0.282860462,0.014476265,0,0,11.12
0.714248838,42.5,0,0,0,0.285751162,0,0.428497677,1.428497677,0.95,0,0.285699535,0.036179393,0,0,13.55
0.806432817,52.5,0,0,0.193567183,0,0,0,1.048362662,0.6,0.233189605,0.222002098,0.041953152,7.6,60,17.01
0.770001113,52.5,0,0.229998887,0,0,0,0,1.001001447,0.6,0.222654946,0.21197285,0.040057861,7.6,60,12.80
0.791399817,52.5,0,0.09457914,0.114021043,0,0,0,1.028819762,0.6,0.228842635,0.217863678,0.041171089,7.6,60,11.12
0.779279279,52.5,0.220720721,0,0,0,0,0,1.013063063,0.6,0.225337838,0.214527027,0.040540541,7.6,60,16.95
0.795310884,52.5,0.090104586,0,0.114584531,0,0,0,1.033904149,0.6,0.229973566,0.218940352,0.041374555,7.6,60,13.23
0.899991603,52.5,0,0,0.100008397,0,0,0,0.743051474,1,0,0.218826098,0.016458141,0,0,6.89
0.90001033,52.5,0,0,0.09998967,0,0,0.222807561,0.928829666,1,0,0.258960851,0.01797335,0,0,4.89
0.900013548,52.5,0,0,0.099986452,0,0,0.594092941,1.238314592,1,0,0.325836608,0.020593416,0,0,4.54
0.899979916,52.5,0,0,0.100020084,0,0,1.336613778,1.857401085,1,0,0.46937136,0.025707973,0,0,4.89
0.899960302,52.5,0,0,0.100039698,0,0,3.564509726,3.714966256,1,0,0.899960302,0.041286225,0,0,12.18
0.93747874,52.5,0,0,0.06252126,0,0,0.250017008,0,1,0,0.250017008,0.016259609,0,0,16.06
0.937482426,52.5,0,0,0.062517574,0,0,0.249976568,0.624988284,1,0,0.268722467,0.021276596,0,0,10.68
0.937537682,52.5,0,0,0.062462318,0,0,0.249969854,1.249969854,1,0,0.300012058,0.02496081,0,0,8.47
0.788381743,52.5,0,0,0.211618257,0,0,0,0.724481328,0.6,0,0.156846473,0.025726141,2.5,65,6.35
0.780679934,52.5,0,0,0.211442786,0,0.00787728,0,0.723880597,0.6,0,0.156716418,0.025704809,2.5,65,4.74
0.772802653,52.5,0,0,0.211442786,0,0.015754561,0,0.723880597,0.6,0,0.156716418,0.025704809,2.5,65,4.66
0.76473029,52.5,0,0,0.211618257,0,0.023651452,0,0.724481328,0.6,0,0.156846473,0.025726141,2.5,65,4.3
0.756846473,52.5,0,0,0.211618257,0,0.03153527,0,0.724481328,0.6,0,0.156846473,0.025726141,2.5,65,4.8
1,52.5,0,0,0,0,0,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,16.7
1,52.5,0,0,0,0,0,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,16.7
1,52.5,0,0,0,0,0,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,16.8
1,52.5,0,0,0,0,0,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,16.8
1,52.5,0,0,0,0,0,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,16.9
0.98007838,52.5,0,0,0,0,0.01992162,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,16.6
0.98007838,52.5,0,0,0,0,0.01992162,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,16.7
0.98007838,52.5,0,0,0,0,0.01992162,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,16.75
0.98007838,52.5,0,0,0,0,0.01992162,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,16.8
0.98007838,52.5,0,0,0,0,0.01992162,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,16.9
0.96015676,52.5,0,0,0,0,0.03984324,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,17.4
0.96015676,52.5,0,0,0,0,0.03984324,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,17.44
0.96015676,52.5,0,0,0,0,0.03984324,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,17.48
0.96015676,52.5,0,0,0,0,0.03984324,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,17.52
0.96015676,52.5,0,0,0,0,0.03984324,0.428641411,1.908393207,2,0,0.328543436,0.074951012,0,65,17.66
0.95,52.5,0,0,0,0.05,0,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.1
0.95,52.5,0,0,0,0.05,0,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.15
0.95,52.5,0,0,0,0.05,0,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.2
0.95,52.5,0,0,0,0.05,0,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.25
0.95,52.5,0,0,0,0.05,0,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.3
0.98007838,52.5,0,0,0,0,0.01992162,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.2
0.98007838,52.5,0,0,0,0,0.01992162,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.25
0.98007838,52.5,0,0,0,0,0.01992162,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.3
0.98007838,52.5,0,0,0,0,0.01992162,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.35
0.98007838,52.5,0,0,0,0,0.01992162,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.4
0.96015676,52.5,0,0,0,0,0.03984324,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.15
0.96015676,52.5,0,0,0,0,0.03984324,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.2
0.96015676,52.5,0,0,0,0,0.03984324,0.428641411,1.908393207,2,0,0.328543436,0.074951012,2,65,17.25
