,concrete(kg/m³),Fly Ash (kg/m³),Silica Fume (kg/m³),Coarse Aggregate (kg/m³),Fine Aggregate (kg/m³),Water (kg/m³),Water Reducer (kg/m³),Fiber Diameter (mm),Fiber Length (mm),Fiber Content (%),Compressive Strength (MPa)
concrete(kg/m³),1.0,-0.04868804959747293,0.2015501462874483,-0.03055055846032146,-0.006823914572261407,0.6235431635487723,-0.011334146700125565,-0.0747146370541386,0.18429556233265265,-0.21684200629461056,0.4038554876516619
Fly Ash (kg/m³),-0.04868804959747293,1.0,-0.2136108766563928,-0.27722047912748216,0.3469099197372416,0.18992254543446288,0.03796867597585764,-0.3714018038182609,-0.13400796474507345,0.0674102646393287,-0.12946982210073701
Silica Fume (kg/m³),0.2015501462874483,-0.2136108766563928,1.0,-0.03926889461314822,-0.10732186430386587,-0.06430907036367098,0.25072274996856964,-0.15371500777484892,-0.014531278622430841,-0.14497483945100095,0.29651434403871224
Coarse Aggregate (kg/m³),-0.03055055846032146,-0.27722047912748216,-0.03926889461314822,1.0,-0.5193991960811946,-0.09460801340965547,-0.04117413010850916,0.1828997524502342,0.08677983931239173,0.13689936307850525,0.03666230847204321
Fine Aggregate (kg/m³),-0.006823914572261407,0.3469099197372416,-0.10732186430386587,-0.5193991960811946,1.0,0.15369342835498648,0.06844848563859485,0.09418045170696317,-0.09348966934423926,-0.029871013113933094,-0.2042730062256509
Water (kg/m³),0.6235431635487723,0.18992254543446288,-0.06430907036367098,-0.09460801340965547,0.15369342835498648,1.0,-0.41008809615093267,-0.19427259589612134,0.2689775638260288,0.0971874920037631,-0.07548838833962725
Water Reducer (kg/m³),-0.011334146700125565,0.03796867597585764,0.25072274996856964,-0.04117413010850916,0.06844848563859485,-0.41008809615093267,1.0,-0.055874040683253495,-0.3177908689406476,-0.0797668160545436,0.22234135516487993
Fiber Diameter (mm),-0.0747146370541386,-0.3714018038182609,-0.15371500777484892,0.1828997524502342,0.09418045170696317,-0.19427259589612134,-0.055874040683253495,1.0,0.2154443408309494,0.1318161683303201,-0.16075242759163982
Fiber Length (mm),0.18429556233265265,-0.13400796474507345,-0.014531278622430841,0.08677983931239173,-0.09348966934423926,0.2689775638260288,-0.3177908689406476,0.2154443408309494,1.0,0.08163176535650572,-0.014886169716601892
Fiber Content (%),-0.21684200629461056,0.0674102646393287,-0.14497483945100095,0.13689936307850525,-0.029871013113933094,0.0971874920037631,-0.0797668160545436,0.1318161683303201,0.08163176535650572,1.0,-0.29230615208361244
Compressive Strength (MPa),0.4038554876516619,-0.12946982210073701,0.29651434403871224,0.03666230847204321,-0.2042730062256509,-0.07548838833962725,0.22234135516487993,-0.16075242759163982,-0.014886169716601892,-0.29230615208361244,1.0
