,Type_of_fiber,Fiber_diameter,Embedded_length,Youngs_modulus_of_fiber,Poisson_ratio_of_fiber,Type_of_matrix,Youngs_modulus_of_matrix,Poissons_ratio_of_matrix,Loading_rate,Prepare_temperature,Test_temperature,Fmax
Type_of_fiber,1.0,0.735923632665737,0.7874920893467737,-0.819545206661687,0.6779118486683967,0.6577246544424549,0.2777860340113868,-0.8115831486064793,-0.16891837753391345,-0.7266426484082628,0.21590135057257118,0.6997680686195804
Fiber_diameter,0.735923632665737,1.0,0.9550740472568283,-0.6637848667795744,0.6715316655667329,0.5199789868876419,0.22225343378467613,-0.6904564036925265,-0.05436992142525306,-0.532707155136177,0.04903727683232415,0.9749121790654499
Embedded_length,0.7874920893467737,0.9550740472568283,1.0,-0.7396831831157754,0.6457287903581299,0.5283996014280923,0.2096234343866242,-0.6913236582662692,-0.0687959775030008,-0.5664680651210505,0.09689181300323169,0.9423310240173132
Youngs_modulus_of_fiber,-0.819545206661687,-0.6637848667795744,-0.7396831831157754,1.0,-0.45299618066953057,-0.49218036668090626,-0.12253028291390107,0.5733436474025938,0.16594062661607656,0.5938358807216619,-0.24001652259060743,-0.6465104092213643
Poisson_ratio_of_fiber,0.6779118486683967,0.6715316655667329,0.6457287903581299,-0.45299618066953057,1.0,0.6502635374719837,0.2950143756281885,-0.8006218470102275,0.08072673627287284,-0.5271564045966569,0.021820373653296643,0.5551480962918484
Type_of_matrix,0.6577246544424549,0.5199789868876419,0.5283996014280923,-0.49218036668090626,0.6502635374719837,1.0,-0.3321430259782594,-0.644275914948362,-0.18031923104329517,-0.4506639566430849,0.172999517819924,0.4390462776640941
Youngs_modulus_of_matrix,0.2777860340113868,0.22225343378467613,0.2096234343866242,-0.12253028291390107,0.2950143756281885,-0.3321430259782594,1.0,-0.24511439081783795,-0.08660749976646423,-0.3409279004982622,-0.11322585668118654,0.23201692750132563
Poissons_ratio_of_matrix,-0.8115831486064793,-0.6904564036925265,-0.6913236582662692,0.5733436474025938,-0.8006218470102275,-0.644275914948362,-0.24511439081783795,1.0,-0.027399832100269562,0.5473524696833694,0.04131264963960228,-0.6041231168986464
Loading_rate,-0.16891837753391345,-0.05436992142525306,-0.0687959775030008,0.16594062661607656,0.08072673627287284,-0.18031923104329517,-0.08660749976646423,-0.027399832100269562,1.0,0.30780772559696407,0.11601133254565284,-0.06440811157431049
Prepare_temperature,-0.7266426484082628,-0.532707155136177,-0.5664680651210505,0.5938358807216619,-0.5271564045966569,-0.4506639566430849,-0.3409279004982622,0.5473524696833694,0.30780772559696407,1.0,-0.17209495154298396,-0.4969810452384175
Test_temperature,0.21590135057257118,0.04903727683232415,0.09689181300323169,-0.24001652259060743,0.021820373653296643,0.172999517819924,-0.11322585668118654,0.04131264963960228,0.11601133254565284,-0.17209495154298396,1.0,0.05316141479588668
Fmax,0.6997680686195804,0.9749121790654499,0.9423310240173132,-0.6465104092213643,0.5551480962918484,0.4390462776640941,0.23201692750132563,-0.6041231168986464,-0.06440811157431049,-0.4969810452384175,0.05316141479588668,1.0
