,Cement-to-cm³,Cement type (MPa),Fly ash-to-cm,Slag-to-cm,Silica fume-to-cm,Metakaolin-to-cm ,Nano silica-to-cm,Limestone-to-cm,Quartz powder-to-cm,Sand-to-cm,Maximum aggregate size (mm),Water-to-cm,Superplasticizer-to-cm,Steel fiber volume (%),Aspect ratio of fibers,Size of specimen (mm),28-day compressive strength (MPa)
Cement-to-cm³,1.0,0.09482207343004039,-0.5625895152089371,-0.6176703421545547,-0.19265327317838404,-0.046364936190867984,0.17522589526601098,0.10301317712285635,0.12017147099910487,0.08914182863868443,0.030867011391990707,0.3268914226333969,0.2390345726362356,-0.16521683002088886,-0.06469794425224198,0.06370960592430394,-0.03415948494795205
Cement type (MPa),0.09482207343004039,1.0,0.009324280429793231,-0.057853746456663954,-0.09780760164764535,-0.055501337073969,0.12024329705866187,-0.02853022250949656,0.32120002973578066,-0.148479945247819,-0.07644155871617375,-0.11613785573378771,0.18080886238564986,-0.09962880249113787,0.08553701976577723,-0.27615310238110125,0.17976352228658551
Fly ash-to-cm,-0.5625895152089371,0.009324280429793231,1.0,-0.07620534881462708,-0.34306559724229474,0.06945010415487524,-0.08014989054747464,-0.0903792861352566,-0.2592019889612557,0.027521826732001094,0.0808936961299622,-0.13408105583183666,-0.14076964139118142,0.07862868938570577,0.04481042161064787,-0.1694324396039656,0.028190636325315304
Slag-to-cm,-0.6176703421545547,-0.057853746456663954,-0.07620534881462708,1.0,0.002144242078318758,-0.07352446265451602,-0.007186464454101414,0.01201576207363789,-0.08948117019171777,0.0365585105643175,-0.053701397200913915,-0.22117867282612874,-0.029141787063557627,0.10758426286705598,0.1064752993608239,0.05420826635528086,-0.0953036511352024
Silica fume-to-cm,-0.19265327317838404,-0.09780760164764535,-0.34306559724229474,0.002144242078318758,1.0,-0.3732770500414804,-0.3131912081602858,-0.15531344840364383,0.30627484052296244,-0.30429017321569396,-0.08682381042361331,-0.2737210310810864,-0.1822816562366216,0.044000736983792324,-0.04517292585065723,-0.00855118353425217,0.2124609213714793
Metakaolin-to-cm ,-0.046364936190867984,-0.055501337073969,0.06945010415487524,-0.07352446265451602,-0.3732770500414804,1.0,-0.06787382123927041,0.16608871108463372,-0.14917672140075375,0.08551765816438135,0.009380239361457883,0.3155105370992889,-0.08337352717555825,-0.03422051868215843,-0.06547533905107814,0.1253472485649575,-0.14872555864201567
Nano silica-to-cm,0.17522589526601098,0.12024329705866187,-0.08014989054747464,-0.007186464454101414,-0.3131912081602858,-0.06787382123927041,1.0,0.10093574733077113,0.08511969234515175,0.22765033090338957,-0.08897060988744625,0.15242401433667224,0.2791386798114653,0.08666563323890292,-0.008944846848711574,0.06687525383023159,-0.09499044710559192
Limestone-to-cm,0.10301317712285635,-0.02853022250949656,-0.0903792861352566,0.01201576207363789,-0.15531344840364383,0.16608871108463372,0.10093574733077113,1.0,-0.03716907540563619,0.11503921419507336,-0.11359559216883942,0.38869671667176386,0.02943355298492695,-0.04963472903413137,-0.06264578626861936,0.0852077258268653,-0.07371675260696539
Quartz powder-to-cm,0.12017147099910487,0.32120002973578066,-0.2592019889612557,-0.08948117019171777,0.30627484052296244,-0.14917672140075375,0.08511969234515175,-0.03716907540563619,1.0,-0.008103748191901562,-0.24177525651567774,0.07157472649227292,0.26384496348688097,0.08863721184219697,0.17801656279158556,0.21362770761559308,0.15778223099356434
Sand-to-cm,0.08914182863868443,-0.148479945247819,0.027521826732001094,0.0365585105643175,-0.30429017321569396,0.08551765816438135,0.22765033090338957,0.11503921419507336,-0.008103748191901562,1.0,-0.24739881700914898,0.3553021720694122,0.1736967713039548,-0.12271084250326106,-0.16153847564262408,0.09691830641093577,-0.41941838614058324
Maximum aggregate size (mm),0.030867011391990707,-0.07644155871617375,0.0808936961299622,-0.053701397200913915,-0.08682381042361331,0.009380239361457883,-0.08897060988744625,-0.11359559216883942,-0.24177525651567774,-0.24739881700914898,1.0,-0.12661995194603118,0.10680761930176327,-0.15426476157771374,-0.10867714972404917,-0.02677115754381471,0.22383125536280857
Water-to-cm,0.3268914226333969,-0.11613785573378771,-0.13408105583183666,-0.22117867282612874,-0.2737210310810864,0.3155105370992889,0.15242401433667224,0.38869671667176386,0.07157472649227292,0.3553021720694122,-0.12661995194603118,1.0,0.19839563773190716,-0.13873419615815002,-0.05115799296889889,0.15565081925191226,-0.1254767106003671
Superplasticizer-to-cm,0.2390345726362356,0.18080886238564986,-0.14076964139118142,-0.029141787063557627,-0.1822816562366216,-0.08337352717555825,0.2791386798114653,0.02943355298492695,0.26384496348688097,0.1736967713039548,0.10680761930176327,0.19839563773190716,1.0,-0.08892201962208553,0.05568741494421845,-0.06210311809660378,-0.06463293092120227
Steel fiber volume (%),-0.16521683002088886,-0.09962880249113787,0.07862868938570577,0.10758426286705598,0.044000736983792324,-0.03422051868215843,0.08666563323890292,-0.04963472903413137,0.08863721184219697,-0.12271084250326106,-0.15426476157771374,-0.13873419615815002,-0.08892201962208553,1.0,0.529665198302745,0.22008288775710427,0.32669573861678913
Aspect ratio of fibers,-0.06469794425224198,0.08553701976577723,0.04481042161064787,0.1064752993608239,-0.04517292585065723,-0.06547533905107814,-0.008944846848711574,-0.06264578626861936,0.17801656279158556,-0.16153847564262408,-0.10867714972404917,-0.05115799296889889,0.05568741494421845,0.529665198302745,1.0,0.007285738598574741,0.20265770483233447
Size of specimen (mm),0.06370960592430394,-0.27615310238110125,-0.1694324396039656,0.05420826635528086,-0.00855118353425217,0.1253472485649575,0.06687525383023159,0.0852077258268653,0.21362770761559308,0.09691830641093577,-0.02677115754381471,0.15565081925191226,-0.06210311809660378,0.22008288775710427,0.007285738598574741,1.0,0.07153975200369077
28-day compressive strength (MPa),-0.03415948494795205,0.17976352228658551,0.028190636325315304,-0.0953036511352024,0.2124609213714793,-0.14872555864201567,-0.09499044710559192,-0.07371675260696539,0.15778223099356434,-0.41941838614058324,0.22383125536280857,-0.1254767106003671,-0.06463293092120227,0.32669573861678913,0.20265770483233447,0.07153975200369077,1.0
