feature_1,feature_2,feature_3,target
3.1077,1.4331,1.6052,2.0572
2.4902,2.3707,6.2617,1.215
2.5648,4.85,4.7786,-1.4937
1.9478,2.1774,2.2102,2.6574
0.914,6.1114,5.7125,0.1414
3.5183,1.9703,5.5807,-0.056
4.2385,2.4573,3.1867,-0.2889
3.293,5.8308,3.59,-0.985
4.1993,0.3284,2.055,0.1851
0.3544,1.1299,5.8178,0.8017
5.8937,4.4868,4.6036,-2.2982
2.9012,5.8517,2.5536,0.3154
4.2927,4.0835,3.7622,-2.3837
1.3951,4.2874,5.517,-0.5816
5.0059,2.7144,5.7672,-1.0304
4.9124,4.56,0.7845,-1.2431
5.7573,2.4361,1.8531,1.0248
3.875,2.9396,1.6043,0.4805
5.2716,1.1223,1.427,0.9776
4.1461,3.0104,0.4615,-0.2117
0.8731,0.7056,3.002,1.5968
3.3948,6.0197,3.6681,-0.89
3.3091,5.7947,5.7759,-1.238
1.5834,4.2891,6.0587,-0.2019
1.426,4.4989,5.0125,-0.8672
5.8858,5.3641,2.6487,-0.6865
0.0342,0.2191,0.0874,0.3225
3.7002,2.4064,0.7214,0.8614
5.4315,5.1626,4.6338,-2.6201
5.28,2.5229,4.7037,-1.246
3.5163,3.8531,1.873,-0.111
3.7849,2.6746,3.3838,-0.395
3.0582,3.1409,5.7646,-0.4103
1.6517,0.3123,2.9072,1.5916
2.5649,3.0602,0.4431,1.1265
3.6575,6.2016,1.3137,0.402
1.3344,6.039,4.4419,-0.215
3.7257,2.393,4.0133,-0.5467
3.1569,0.5642,1.8672,1.4236
5.2034,1.1024,5.6831,-0.5821
3.6965,0.1039,2.3249,0.3287
0.2647,0.7997,1.1264,1.8512
1.0459,5.5524,5.6923,-0.3481
1.4791,2.5589,2.9604,1.8437
5.2165,1.8347,1.0922,1.0874
2.8786,5.6701,3.7381,-0.9706
2.5925,2.5488,1.9383,1.8924
1.9973,2.6081,4.0097,0.6337
4.9968,0.2327,4.6153,-1.69
4.8542,1.5358,6.1894,-0.0873
4.2412,5.6094,1.5272,-0.5203
0.3248,4.4594,6.0147,-0.8062
0.1435,5.7374,4.5759,-1.3651
6.003,1.7162,1.0719,1.6444
2.027,1.7419,3.0825,1.9672
0.8213,4.6381,0.8817,0.5096
3.5855,3.3511,1.4673,0.3899
2.9964,2.9201,5.0644,-0.574
0.1168,4.4788,1.577,0.1878
4.1502,3.9989,0.3581,-1.2485
4.517,2.1358,3.4535,-0.5324
4.6767,1.1216,1.5752,0.9287
0.8412,0.9473,5.9001,1.1456
6.1038,0.8957,1.2307,1.5083
0.6308,0.514,4.8278,0.1433
1.3217,2.9039,0.5279,1.668
2.0829,6.2098,5.6566,0.2012
5.437,2.4144,4.4019,-1.0494
0.2333,3.1499,0.7156,0.9078
4.6099,2.7446,2.0545,0.3485
4.7218,1.6532,3.0481,0.0129
0.0412,0.0331,3.5667,-0.335
2.2178,2.3566,2.294,2.221
1.9417,1.0738,6.152,1.7351
4.8699,6.1082,3.3016,-1.2779
1.4983,3.0482,3.7023,0.4516
3.1446,2.6997,1.5761,1.3975
0.3608,4.0424,1.5802,0.6047
1.2033,3.2088,2.3922,1.5808
5.7612,0.3281,2.3722,0.4773
3.1273,3.6401,5.074,-1.2993
5.6078,2.9666,0.6201,0.0613
4.5707,3.0728,4.4136,-1.8732
2.2453,1.2175,2.1207,2.628
3.4338,6.025,5.7552,-0.9331
4.4403,5.4396,1.4337,-0.7476
5.0371,4.6441,1.2232,-1.0029
0.9258,2.3077,2.2017,2.3485
0.6964,1.0683,4.1338,0.6911
5.9472,1.6052,0.6874,1.2211
4.9328,3.0714,3.8454,-1.5544
5.6439,2.4578,0.6797,0.6097
1.9898,0.1272,3.7273,0.4715
3.6726,4.3414,4.2111,-2.2491
1.4781,3.6799,1.2385,1.3836
4.1122,4.0746,1.2627,-0.7192
0.1475,4.8969,0.0828,-0.681
4.0145,4.7442,4.0362,-2.4595
5.3515,3.9695,1.9061,-0.4793
2.599,1.0555,5.0755,0.4618
2.739,2.4858,3.5611,0.6842
4.88,5.9335,2.0598,-0.483
1.4539,4.448,5.3598,-0.8025
0.1506,1.5612,2.4697,1.8167
1.4156,2.8578,5.2308,0.391
3.8547,0.6398,2.5824,0.4016
5.6975,1.6286,0.8765,1.155
1.5063,5.6853,2.1119,1.3163
1.0144,1.8817,3.565,1.3765
2.728,3.8512,3.4294,-0.469
4.4216,5.1283,5.4388,-2.5752
1.6736,5.3649,1.6948,1.1202
1.6884,5.7432,2.9208,0.7114
3.8044,2.0361,5.3683,-0.4561
6.172,4.9791,2.1831,-0.2202
1.2238,5.063,1.386,0.9735
4.6043,4.9723,0.3432,-1.549
1.502,1.8459,0.9843,2.7989
3.5596,2.2546,2.0209,1.241
5.4521,1.9242,3.1772,0.2107
0.4095,0.3176,3.7292,0.0764
1.3405,2.0838,1.2959,2.8599
1.949,5.9615,5.295,-0.1866
4.3698,3.6989,5.2801,-2.4422
3.2538,5.4612,4.5261,-1.8542
1.1386,4.6263,4.0933,-0.9134
2.7999,2.1956,4.222,0.2572
1.5906,2.184,2.4479,2.4503
4.4229,3.243,5.815,-1.5156
5.7944,2.2036,3.6827,-0.2583
5.9579,3.6916,5.1251,-1.7829
0.8603,3.3152,4.4793,-0.3825
4.4135,1.1807,0.4177,0.4749
5.5988,1.6511,5.8297,-0.0948
2.1133,1.612,2.5924,2.3048
4.8317,0.8503,3.6702,-0.7721
5.4565,1.5901,0.414,0.6748
2.7669,1.9715,2.6783,1.7243
1.5376,0.6002,1.5172,2.6407
2.1295,3.5194,4.6862,-0.4826
5.9927,4.7486,2.7251,-0.7839
0.3718,5.8104,2.5498,0.4824
0.6686,3.7661,1.8149,0.9195
0.5055,5.2029,3.4944,-0.7323
0.8439,1.4265,4.2605,0.8429
4.9261,1.3609,2.4454,0.6515
3.9729,0.3955,2.739,0.0418
4.247,4.4915,0.9896,-0.9819
0.6396,4.2937,3.6434,-0.7853
0.2607,2.4024,3.8189,0.3905
4.0745,0.2033,1.7002,0.3192
0.3456,2.8512,5.6167,-0.0054
3.1714,5.3924,2.4819,-0.1486
3.9648,0.4809,2.1001,0.5721
0.2522,3.7708,3.6101,-0.8236
5.6028,3.0305,0.5606,0.0829
5.7786,1.4131,4.5131,-0.4921
5.1329,4.3778,5.6054,-2.4792
1.4023,1.3487,1.9159,3.0041
1.6871,5.4112,2.4427,0.8533
2.4728,2.3115,6.008,1.1295
0.4509,1.4822,0.1425,1.5434
5.5101,3.4858,1.016,-0.1954
2.6929,3.2243,2.7012,0.8215
0.0149,6.0966,6.1666,-0.2361
2.841,3.7333,0.1764,-0.1412
3.9667,5.3361,5.3415,-2.2664
6.0096,1.5545,5.6615,0.1004
5.4804,3.958,1.8725,-0.3982
2.8563,4.3332,5.9365,-0.964
6.1741,1.5097,3.98,0.0069
2.0272,2.1594,3.0698,1.8165
4.9317,0.2249,2.6288,-0.2363
1.1863,2.2344,5.6468,1.0871
6.0661,2.7332,5.0363,-0.6821
4.8263,1.1508,0.1429,0.0469
3.9493,2.3175,0.1009,0.0508
4.3463,3.6584,1.4018,-0.3893
5.0271,0.7308,2.9953,-0.1205
2.5955,2.129,2.7109,1.7864
6.2654,5.6722,1.6117,0.3231
5.9858,2.0816,0.2056,0.8918
2.7895,0.5934,6.1919,0.8964
1.1626,2.2925,3.0082,1.6891
3.3306,1.2579,5.1164,-0.0846
1.817,2.2431,5.3956,0.9261
0.8285,1.2246,0.9865,2.4647
3.9734,0.6761,2.4473,0.51
4.4471,5.4906,2.4618,-1.0992
2.3348,3.3217,0.2275,0.7521
5.605,4.7059,5.6387,-2.2379
5.6339,4.5373,1.2842,-0.6844
4.2573,5.9062,5.7961,-1.8497
1.9446,1.2697,1.9738,2.8158
1.5784,3.6353,0.0116,0.4733
