feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
3.1077,1.4331,1.6052,2.4902,2.3707,6.2617,2.5648,4.85,4.7786,5.5435
1.9478,2.1774,2.2102,0.914,6.1114,5.7125,3.5183,1.9703,5.5807,5.0401
4.2385,2.4573,3.1867,3.293,5.8308,3.59,4.1993,0.3284,2.055,5.9201
0.3544,1.1299,5.8178,5.8937,4.4868,4.6036,2.9012,5.8517,2.5536,-1.1264
4.2927,4.0835,3.7622,1.3951,4.2874,5.517,5.0059,2.7144,5.7672,5.9153
4.9124,4.56,0.7845,5.7573,2.4361,1.8531,3.875,2.9396,1.6043,12.0323
5.2716,1.1223,1.427,4.1461,3.0104,0.4615,0.8731,0.7056,3.002,8.4768
3.3948,6.0197,3.6681,3.3091,5.7947,5.7759,1.5834,4.2891,6.0587,7.6706
1.426,4.4989,5.0125,5.8858,5.3641,2.6487,0.0342,0.2191,0.0874,4.4094
3.7002,2.4064,0.7214,5.4315,5.1626,4.6338,5.28,2.5229,4.7037,3.0674
3.5163,3.8531,1.873,3.7849,2.6746,3.3838,3.0582,3.1409,5.7646,7.732
1.6517,0.3123,2.9072,2.5649,3.0602,0.4431,3.6575,6.2016,1.3137,3.8764
1.3344,6.039,4.4419,3.7257,2.393,4.0133,3.1569,0.5642,1.8672,7.1269
5.2034,1.1024,5.6831,3.6965,0.1039,2.3249,0.2647,0.7997,1.1264,7.7642
1.0459,5.5524,5.6923,1.4791,2.5589,2.9604,5.2165,1.8347,1.0922,8.7377
2.8786,5.6701,3.7381,2.5925,2.5488,1.9383,1.9973,2.6081,4.0097,10.7236
4.9968,0.2327,4.6153,4.8542,1.5358,6.1894,4.2412,5.6094,1.5272,3.5954
0.3248,4.4594,6.0147,0.1435,5.7374,4.5759,6.003,1.7162,1.0719,4.5499
2.027,1.7419,3.0825,0.8213,4.6381,0.8817,3.5855,3.3511,1.4673,4.6928
2.9964,2.9201,5.0644,0.1168,4.4788,1.577,4.1502,3.9989,0.3581,3.7662
4.517,2.1358,3.4535,4.6767,1.1216,1.5752,0.8412,0.9473,5.9001,8.5017
6.1038,0.8957,1.2307,0.6308,0.514,4.8278,1.3217,2.9039,0.5279,9.5839
2.0829,6.2098,5.6566,5.437,2.4144,4.4019,0.2333,3.1499,0.7156,7.3428
4.6099,2.7446,2.0545,4.7218,1.6532,3.0481,0.0412,0.0331,3.5667,8.0448
2.2178,2.3566,2.294,1.9417,1.0738,6.152,4.8699,6.1082,3.3016,5.6302
1.4983,3.0482,3.7023,3.1446,2.6997,1.5761,0.3608,4.0424,1.5802,6.1026
1.2033,3.2088,2.3922,5.7612,0.3281,2.3722,3.1273,3.6401,5.074,4.3287
5.6078,2.9666,0.6201,4.5707,3.0728,4.4136,2.2453,1.2175,2.1207,9.7228
3.4338,6.025,5.7552,4.4403,5.4396,1.4337,5.0371,4.6441,1.2232,7.3596
0.9258,2.3077,2.2017,0.6964,1.0683,4.1338,5.9472,1.6052,0.6874,6.2113
4.9328,3.0714,3.8454,5.6439,2.4578,0.6797,1.9898,0.1272,3.7273,8.5594
3.6726,4.3414,4.2111,1.4781,3.6799,1.2385,4.1122,4.0746,1.2627,7.829
0.1475,4.8969,0.0828,4.0145,4.7442,4.0362,5.3515,3.9695,1.9061,2.048
2.599,1.0555,5.0755,2.739,2.4858,3.5611,4.88,5.9335,2.0598,2.7667
1.4539,4.448,5.3598,0.1506,1.5612,2.4697,1.4156,2.8578,5.2308,7.266
3.8547,0.6398,2.5824,5.6975,1.6286,0.8765,1.5063,5.6853,2.1119,7.7864
1.0144,1.8817,3.565,2.728,3.8512,3.4294,4.4216,5.1283,5.4388,-0.6516
1.6736,5.3649,1.6948,1.6884,5.7432,2.9208,3.8044,2.0361,5.3683,8.2973
6.172,4.9791,2.1831,1.2238,5.063,1.386,4.6043,4.9723,0.3432,11.5395
1.502,1.8459,0.9843,3.5596,2.2546,2.0209,5.4521,1.9242,3.1772,5.4397
0.4095,0.3176,3.7292,1.3405,2.0838,1.2959,1.949,5.9615,5.295,2.8687
4.3698,3.6989,5.2801,3.2538,5.4612,4.5261,1.1386,4.6263,4.0933,4.7583
2.7999,2.1956,4.222,1.5906,2.184,2.4479,4.4229,3.243,5.815,4.8722
5.7944,2.2036,3.6827,5.9579,3.6916,5.1251,0.8603,3.3152,4.4793,5.0273
4.4135,1.1807,0.4177,5.5988,1.6511,5.8297,2.1133,1.612,2.5924,8.3434
4.8317,0.8503,3.6702,5.4565,1.5901,0.414,2.7669,1.9715,2.6783,7.6701
1.5376,0.6002,1.5172,2.1295,3.5194,4.6862,5.9927,4.7486,2.7251,1.4095
