Feature_1,Feature_2,Feature_3,Target
4.507,-1.324,19.296,-1.461
3.504,3.855,11.961,-1.566
3.125,0.892,16.041,0.835
-0.121,2.0,14.831,1.648
2.304,-4.695,18.982,2.526
6.204,-4.681,14.104,1.88
3.435,2.366,11.997,0.17
6.168,-2.699,19.186,-0.776
0.311,4.917,14.892,0.494
9.424,0.539,23.143,-0.417
10.224,-1.251,15.455,-0.855
3.922,-0.891,17.994,-2.306
7.852,-5.06,9.961,1.372
6.128,-2.612,13.827,-0.286
6.965,1.493,12.344,1.38
6.772,-2.218,19.692,0.31
7.884,-2.854,10.351,-0.327
7.405,-2.187,24.665,-0.332
9.575,2.683,22.96,-0.587
8.109,2.314,22.42,1.513
6.107,0.006,16.408,-1.023
7.306,0.855,19.522,2.219
1.198,-3.054,12.589,1.053
8.955,3.756,16.06,-0.225
7.957,-4.185,22.482,1.577
5.985,3.649,18.971,-0.666
8.853,0.167,17.331,-0.38
5.625,-3.928,16.148,-0.254
7.397,2.601,15.985,1.342
7.766,1.983,21.131,2.396
0.226,-4.827,14.0,2.076
4.068,-2.092,10.347,-2.466
0.712,3.736,15.937,-0.114
6.241,3.533,20.568,0.369
2.653,-4.13,20.166,2.348
6.872,-1.092,12.915,-0.689
4.926,-1.915,14.128,-0.925
1.147,-3.001,23.509,-0.187
8.093,3.416,18.147,-0.012
3.051,-0.502,23.142,-1.368
9.082,3.229,23.992,-0.428
4.737,2.572,14.744,0.412
3.415,-1.944,20.24,0.41
9.753,4.855,13.165,-1.092
9.211,1.066,10.93,0.2
8.468,-0.488,18.242,-0.441
5.356,4.723,13.102,-1.134
8.398,-4.519,16.698,0.768
6.196,1.575,10.896,-0.005
-0.528,-4.261,11.41,0.163
5.155,1.689,22.239,-0.333
8.551,-2.801,11.405,-0.363
4.556,-1.445,19.634,-1.082
3.74,0.9,15.426,0.428
5.855,-4.433,10.7,-0.424
6.424,-1.442,22.746,-1.603
3.609,2.922,19.368,0.137
8.114,-1.82,19.128,0.243
2.618,0.201,15.283,1.037
3.31,-2.321,16.325,-1.474
4.917,0.164,21.915,-0.647
3.52,2.371,13.594,1.296
7.062,4.714,15.509,0.19
9.338,0.867,19.048,1.263
9.239,-0.118,17.149,0.015
4.697,-4.763,22.723,-0.371
5.354,2.545,15.042,0.719
6.988,-3.189,18.856,0.423
9.145,-2.482,22.444,-0.7
6.715,2.52,21.923,0.894
6.773,2.217,20.528,2.26
8.684,3.993,10.696,-0.925
1.69,-2.768,16.286,0.278
9.022,-3.294,19.709,1.098
2.661,3.241,10.813,-0.705
0.738,5.158,22.984,-1.644
6.688,0.355,22.071,0.49
4.744,0.65,11.918,-0.969
1.179,1.446,22.158,1.67
9.041,-1.652,22.546,-1.641
6.046,-4.71,19.875,1.836
0.494,1.537,20.285,2.239
1.818,-0.902,24.727,-0.201
7.61,-3.148,23.54,-0.316
7.75,3.91,20.082,1.31
2.329,-3.951,13.77,2.532
6.443,-2.364,24.194,-1.884
2.378,-4.676,15.774,2.082
6.776,1.572,22.602,0.71
5.346,-1.85,12.715,-1.73
4.062,-0.204,19.089,-0.928
6.357,-0.731,21.002,0.133
4.798,3.175,12.766,-0.685
8.489,-1.06,23.538,-1.043
4.404,5.065,22.657,-2.754
3.234,2.181,12.673,1.481
6.668,1.879,19.773,2.157
5.257,0.554,14.305,0.768
5.445,1.531,22.597,-0.169
2.309,0.735,16.058,0.972
7.181,0.458,15.402,1.085
4.739,3.403,17.869,-2.173
2.697,-5.182,12.756,1.19
8.841,-1.162,15.969,-0.183
2.116,1.917,12.747,1.761
0.79,0.573,16.638,0.506
6.856,0.13,12.309,-0.119
8.852,-2.317,24.156,-1.436
3.569,2.606,11.608,-0.663
9.635,3.639,24.511,-1.287
9.403,-1.068,20.774,0.525
1.795,-5.021,12.794,2.295
0.501,-3.899,22.246,0.73
6.516,1.456,21.729,1.383
8.627,-1.385,17.851,-1.375
3.55,0.006,16.572,-1.443
4.599,-1.823,17.153,-2.97
6.995,0.7,12.83,1.745
1.631,-1.114,15.581,0.019
3.41,-3.625,16.924,-0.965
0.163,2.123,13.569,1.851
9.187,1.594,23.483,0.704
9.713,-2.858,18.377,-1.198
2.27,2.901,20.287,1.619
8.082,3.974,13.883,1.273
0.696,-3.543,12.594,1.13
3.21,-0.464,12.692,-0.593
7.74,-3.137,13.409,1.34
4.852,0.32,14.685,-0.366
7.297,-2.285,10.35,-1.094
4.011,3.433,23.286,-1.826
3.57,0.466,22.261,-0.876
7.803,1.34,13.338,2.648
5.584,-2.958,18.313,-1.196
6.907,-1.658,16.033,-0.156
6.644,3.875,10.96,-0.654
10.166,-3.128,18.084,-1.183
7.416,-3.37,14.549,2.252
2.22,-2.188,24.71,-0.958
0.771,-1.469,15.456,-0.447
5.461,-3.83,21.919,-0.531
4.502,0.955,19.842,0.821
7.681,-2.211,20.021,1.047
4.999,-3.822,18.288,-0.804
0.967,4.871,10.565,-0.897
2.955,-3.801,23.253,-0.673
8.089,1.951,10.205,1.056
5.083,-1.247,13.297,-1.384
6.939,-5.112,18.121,0.517
7.888,2.575,14.617,2.3
0.453,-3.165,23.983,-0.618
5.005,4.205,16.179,-2.292
2.542,-4.439,20.612,2.398
3.711,-3.284,14.14,0.514
0.318,-4.599,17.332,0.763
2.282,-3.164,16.624,-0.036
2.787,-0.824,15.327,0.633
2.504,-0.017,11.587,-0.171
0.112,4.066,21.476,0.067
6.197,-2.559,21.554,0.276
9.228,-0.305,20.605,0.746
7.679,-3.839,17.084,0.778
7.905,1.042,19.043,2.063
7.535,-3.721,18.28,0.674
4.018,1.991,19.532,0.373
6.853,3.869,25.009,-0.996
7.998,3.079,17.895,0.019
2.755,-0.202,24.77,-0.353
10.315,2.925,21.741,0.194
5.191,3.701,21.479,-1.032
8.684,-2.258,21.84,-0.197
4.374,-3.802,23.229,-1.268
1.221,0.42,19.571,1.773
1.707,-2.545,23.162,-0.598
5.988,2.484,13.345,1.146
1.365,3.017,19.232,1.747
5.754,5.051,23.114,-2.711
7.049,-1.065,17.108,-1.144
6.306,-1.662,15.467,-0.717
6.248,2.507,11.395,-0.054
9.268,0.145,15.356,0.942
5.874,0.714,17.173,-0.806
4.896,-1.164,17.876,-2.704
5.352,-2.28,13.923,-0.321
2.958,-1.086,14.819,-0.567
0.074,4.41,18.409,-0.919
5.008,-1.789,10.546,-2.966
2.576,-0.213,23.837,-0.786
1.509,2.428,23.623,0.993
4.842,2.093,23.499,-1.055
2.393,3.224,18.078,-0.147
3.618,3.557,24.055,-2.15
6.048,-3.452,10.402,-1.4
5.041,2.703,14.269,0.528
5.724,1.137,18.137,-0.564
2.788,-4.152,23.937,0.362
5.115,-3.911,18.575,-0.411
0.735,2.112,11.092,0.385
8.307,3.415,14.998,1.365
5.234,-2.398,11.708,-2.361
3.81,1.066,9.928,-0.304
0.467,2.548,15.714,1.517
9.331,-0.371,12.562,0.13
9.804,2.223,20.589,1.812
6.395,-4.726,11.596,0.158
7.934,0.724,19.171,2.165
7.185,4.543,14.35,0.862
9.079,2.769,17.828,-0.18
3.844,1.55,22.945,-0.495
1.354,-0.104,13.176,1.172
4.672,2.553,11.747,-1.257
7.628,3.514,19.522,0.809
3.732,0.33,11.904,-1.114
6.607,-3.736,12.842,1.122
9.207,-1.085,20.914,0.387
3.958,4.729,18.141,-2.451
0.378,2.55,15.909,1.118
3.339,-3.881,15.112,0.997
4.464,2.206,23.13,-1.121
10.131,2.76,16.412,-0.137
1.057,1.789,18.9,2.141
8.104,-2.57,23.498,-0.269
7.231,-4.328,24.733,1.198
4.814,2.219,21.814,-0.1
6.635,-2.0,14.251,-0.05
3.571,-0.985,21.619,-0.724
6.064,4.182,15.941,-0.793
1.208,-4.622,23.685,0.994
7.979,-0.692,18.645,-0.158
3.918,1.273,24.957,-0.084
1.998,3.46,20.557,1.627
6.225,-0.053,10.919,-1.371
8.183,-1.955,18.506,-0.402
7.66,4.057,11.929,-0.555
10.135,3.082,23.281,-1.14
3.817,0.036,24.022,-1.442
9.035,2.932,22.423,0.724
8.116,1.987,15.345,2.325
-0.635,3.85,24.733,-0.903
4.067,-0.655,19.573,-1.042
5.451,-2.101,12.0,-2.147
0.888,-2.531,19.159,0.945
0.163,-0.987,21.498,0.463
0.689,2.761,12.949,1.216
4.324,1.764,11.48,-0.636
0.872,1.593,21.694,2.074
6.592,-0.24,11.733,-0.773
2.317,3.193,20.645,1.668
7.66,4.0,14.061,1.1
5.919,1.534,21.915,0.228
-0.604,-3.522,12.784,0.813
6.853,2.081,24.172,0.725
8.406,4.949,24.784,-0.57
0.777,-4.706,14.16,2.729
7.83,-4.88,14.821,2.648
1.626,3.79,20.376,1.183
2.752,-2.256,12.669,-0.011
6.155,-3.443,11.289,-1.073
2.643,0.46,15.473,1.234
7.028,2.808,10.327,0.183
0.229,1.03,19.372,1.536
0.317,-1.204,15.481,-0.245
1.949,-2.286,23.744,-0.836
4.95,3.19,19.921,-0.363
2.027,-1.997,20.508,0.958
7.916,-4.571,17.877,0.995
7.366,-0.444,23.371,-0.652
0.679,0.361,13.957,1.719
7.506,-0.171,19.82,1.457
1.033,0.733,18.253,1.285
0.049,-2.766,20.379,0.975
7.31,-3.199,22.554,0.346
4.05,-0.109,9.828,-1.078
3.415,2.512,22.669,-0.29
8.23,-1.46,16.461,-0.698
6.915,-4.337,12.775,2.164
8.222,3.847,11.524,-0.708
9.285,2.527,19.334,1.395
7.302,-2.233,11.374,-0.759
8.296,2.081,21.06,2.32
4.558,0.71,14.413,0.468
8.975,-0.691,22.149,-0.308
2.851,-1.889,18.681,-1.521
6.247,1.89,13.001,1.993
6.824,-5.139,16.628,0.805
6.89,5.234,14.735,0.152
10.411,3.1,13.37,0.072
0.796,3.217,15.513,0.641
6.789,-4.979,19.67,1.895
8.904,4.778,14.108,0.73
3.181,-3.944,23.394,0.13
3.97,-1.642,23.349,-2.54
6.804,0.729,11.796,0.298
8.498,3.606,14.814,1.199
5.896,2.028,10.13,-0.3
0.315,-2.219,24.919,-1.21
2.441,-4.761,24.501,0.99
7.328,-2.287,12.83,0.423
9.725,-2.36,18.376,-1.675
1.529,-0.953,11.027,-0.733
5.575,-3.358,16.75,-1.633
9.199,-0.384,19.2,-0.109
9.68,-3.33,12.77,-0.189
6.357,-1.895,17.607,-1.461
9.226,0.694,19.837,1.748
5.038,1.051,14.629,0.749
5.887,-4.164,18.206,0.278
5.793,1.038,12.873,0.663
8.81,-1.148,23.558,-1.347
8.127,0.745,13.032,2.055
0.813,-2.993,10.634,-0.549
8.485,1.103,13.378,2.318
9.415,-4.261,10.991,0.354
0.938,1.923,11.848,1.292
7.115,2.156,24.255,1.104
7.275,-1.653,14.221,0.978
1.002,0.877,11.142,0.662
9.749,4.541,22.023,-1.291
3.561,-5.016,18.282,-0.317
6.56,3.462,21.791,0.041
5.417,0.726,24.501,-0.516
6.834,1.912,24.826,1.142
2.89,-1.278,15.704,-1.403
5.357,1.84,23.993,-0.469
5.015,-4.596,15.406,0.732
1.997,3.925,20.639,1.009
7.332,-4.07,11.363,0.335
0.351,3.01,16.367,-0.13
1.82,-0.851,25.789,-0.092
1.35,0.327,19.963,2.424
0.406,0.201,19.063,0.283
5.347,-3.23,11.188,-1.679
3.176,0.124,15.854,0.682
6.62,3.389,11.362,-0.655
2.114,0.847,18.532,1.421
9.002,1.945,14.555,2.366
1.857,4.107,22.406,-0.134
6.029,4.856,25.216,-1.731
4.343,-4.117,12.641,0.091
6.948,3.022,11.328,-0.468
5.882,-0.408,12.686,-0.456
6.429,4.193,10.9,-2.151
8.453,3.95,19.814,0.508
2.356,0.446,24.513,0.418
0.505,4.934,21.203,0.126
7.858,0.099,17.043,-0.017
0.113,3.737,24.333,-1.11
7.628,-3.747,16.64,1.122
4.44,0.116,10.649,-1.801
7.077,-5.071,20.539,2.419
6.099,-4.104,23.131,-0.612
4.225,-3.68,24.222,-1.169
6.458,4.349,10.968,-1.413
7.085,2.012,18.24,1.203
8.657,-2.885,15.344,1.028
5.447,-0.911,12.432,-1.328
3.855,1.62,22.77,-0.867
6.045,-2.208,20.529,-0.12
5.305,-0.454,23.72,-2.362
7.243,-0.991,14.985,0.585
4.67,-0.502,20.402,-0.306
4.378,-2.407,23.379,-2.122
1.019,-4.519,23.468,0.855
5.602,1.592,16.138,0.313
4.968,-3.312,18.242,-1.431
1.176,1.35,20.691,2.704
9.196,-1.74,21.614,0.108
4.624,-2.953,16.583,-1.933
7.762,0.714,24.496,1.012
3.496,-1.969,14.039,-0.236
9.805,-2.847,19.738,-0.081
5.854,2.745,16.883,-0.917
0.695,1.55,13.721,2.505
8.403,3.28,23.025,-0.048
3.092,-1.196,15.323,-0.559
8.829,3.43,16.976,-0.272
5.667,1.444,19.342,1.353
8.873,4.685,23.956,-1.715
5.212,0.368,18.173,-1.011
7.92,-4.246,12.395,1.664
7.727,-1.187,18.168,-0.566
0.501,-4.006,18.132,1.109
3.455,0.207,13.831,1.388
8.999,-1.622,12.408,-0.936
8.167,1.663,14.317,2.645
-0.258,1.168,20.299,2.264
5.486,0.547,20.168,0.36
9.556,0.134,21.484,0.107
1.407,2.856,13.331,2.128
4.294,3.343,14.327,0.012
9.088,-0.277,21.967,0.146
6.282,2.447,15.267,2.022
7.884,3.383,22.605,0.351
0.546,0.003,18.898,0.102
3.351,0.253,24.808,-0.509
6.417,-3.873,10.355,0.202
1.588,4.295,22.638,-0.646
3.935,-5.021,15.711,0.468
1.769,-2.315,14.65,1.031
2.557,-1.379,17.345,-1.637
5.84,0.667,20.754,0.902
4.889,4.853,13.727,-0.932
2.002,-4.461,15.568,1.676
9.332,-0.435,23.007,-0.872
5.453,3.918,13.621,-0.806
0.743,4.963,13.05,0.459
9.023,-0.079,17.331,-0.633
0.397,4.409,15.748,-0.452
0.449,-2.51,23.124,-0.955
5.11,-0.567,9.912,-1.836
0.232,-4.652,12.198,0.823
6.588,3.461,18.297,-0.293
5.711,2.655,19.46,0.409
6.151,0.355,21.253,1.342
8.851,1.428,22.897,1.044
6.369,-2.725,12.702,-0.487
6.004,-4.409,19.066,0.411
6.551,4.236,11.1,-1.672
0.608,-4.672,22.913,1.141
8.601,0.989,10.56,0.929
8.665,-1.223,12.646,0.329
7.454,-0.984,24.433,-0.329
7.944,2.243,14.055,2.607
6.366,-3.839,14.869,0.968
5.573,-1.917,12.304,-1.237
2.196,-2.775,17.462,-0.51
1.867,1.471,19.595,2.683
1.417,-0.104,21.166,1.463
0.32,3.703,20.729,0.737
1.51,-3.236,18.06,0.454
5.638,-1.227,21.332,-0.652
